t,W_less_mesh_locking,W_mesh_locking,W_double_triangle_edge_flip,W_single_triangle_edge_flip,abs_delta_W_mesh_locking,abs_delta_W_double_triangle_edge_flip,abs_delta_W_single_triangle_edge_flip
0,9.4031449293999997e-12,4.0662584411e-11,4.0662584411e-11,4.0662584411e-11,3.1259439481600001e-11,3.1259439481600001e-11,3.1259439481600001e-11
0.001,5.4296121680999996e-06,5.4464880725000004e-06,5.4464880725000004e-06,5.4464880725000004e-06,1.6875904400000769e-08,1.6875904400000769e-08,1.6875904400000769e-08
0.002,2.1701699179e-05,2.1766291515e-05,2.1766291515e-05,2.1766291515e-05,6.4592336000000346e-08,6.4592336000000346e-08,6.4592336000000346e-08
0.0030000000000000001,4.8791677056999997e-05,4.8929771390999998e-05,4.8929771390999998e-05,4.8929771390999998e-05,1.3809433400000041e-07,1.3809433400000041e-07,1.3809433400000041e-07
0.0040000000000000001,8.6674714132999999e-05,8.6907679608000003e-05,8.6907679608000003e-05,8.6907679608000003e-05,2.3296547500000376e-07,2.3296547500000376e-07,2.3296547500000376e-07
0.0050000000000000001,0.00013532596942,0.00013567061916,0.00013567061916,0.00013567061916,3.4464973999999795e-07,3.4464973999999795e-07,3.4464973999999795e-07
0.0060000000000000001,0.00019472057173999999,0.00019518930793000001,0.00019518930793000001,0.00019518930793000001,4.6873619000001657e-07,4.6873619000001657e-07,4.6873619000001657e-07
0.0070000000000000001,0.00026483348499999998,0.00026543452606000002,0.00026543452606000002,0.00026543452606000002,6.0104106000004841e-07,6.0104106000004841e-07,6.0104106000004841e-07
0.0080000000000000002,0.00034563974076999999,0.00034637713989999999,0.00034637713989999999,0.00034637713989999999,7.373991299999957e-07,7.373991299999957e-07,7.373991299999957e-07
0.0089999999999999993,0.00043711439647000001,0.00043798800517999998,0.00043798800517999998,0.00043798800517999998,8.7360870999997038e-07,8.7360870999997038e-07,8.7360870999997038e-07
0.01,0.00053923230122999999,0.00054023820718,0.00054023820718,0.00054023820718,1.0059059500000175e-06,1.0059059500000175e-06,1.0059059500000175e-06
0.010999999999999999,0.00065196834084000005,0.00065309861555000004,0.00065309861555000004,0.00065309861555000004,1.1302747099999847e-06,1.1302747099999847e-06,1.1302747099999847e-06
0.012,0.00077529735752000003,0.00077654051034000001,0.00077654051034000001,0.00077654051034000001,1.2431528199999828e-06,1.2431528199999828e-06,1.2431528199999828e-06
0.012999999999999999,0.00090919418587000005,0.00091053502641000002,0.00091053502641000002,0.00091053502641000002,1.3408405399999721e-06,1.3408405399999721e-06,1.3408405399999721e-06
0.014,0.0010536335001999999,0.0010550533548,0.0010550533548,0.0010550533548,1.4198546000000409e-06,1.4198546000000409e-06,1.4198546000000409e-06
0.014999999999999999,0.0012085900859000001,0.0012100668536,0.0012100668536,0.0012100668536,1.4767676999999629e-06,1.4767676999999629e-06,1.4767676999999629e-06
0.016,0.0013740386415,0.0013755468534999999,0.0013755468534999999,0.0013755468534999999,1.5082119999999116e-06,1.5082119999999116e-06,1.5082119999999116e-06
0.017000000000000001,0.0015499536991000001,0.0015514647929,0.0015514647929,0.0015514647929,1.5110937999999324e-06,1.5110937999999324e-06,1.5110937999999324e-06
0.017999999999999999,0.0017363099860000001,0.0017377922404,0.0017377922404,0.0017377922404,1.4822543999998966e-06,1.4822543999998966e-06,1.4822543999998966e-06
0.019,0.0019330819890999999,0.0019345005903000001,0.0019345005903000001,0.0019345005903000001,1.4186012000001486e-06,1.4186012000001486e-06,1.4186012000001486e-06
0.02,0.0021402442983999999,0.0021415616573000002,0.0021415616573000002,0.0021415616573000002,1.3173589000002421e-06,1.3173589000002421e-06,1.3173589000002421e-06
0.021000000000000001,0.0023577714803000001,0.0023589469801000001,0.0023589469801000001,0.0023589469801000001,1.1754997999999586e-06,1.1754997999999586e-06,1.1754997999999586e-06
0.021999999999999999,0.0025856378427999999,0.0025866283931000001,0.0025866283931000001,0.0025866283931000001,9.90550300000205e-07,9.90550300000205e-07,9.90550300000205e-07
0.023,0.0028238179625999999,0.0028245777077000002,0.0028245777077000002,0.0028245777077000002,7.5974510000027806e-07,7.5974510000027806e-07,7.5974510000027806e-07
0.024,0.0030722862485000001,0.0030727667929000002,0.0030727667929000002,0.0030727667929000002,4.8054440000009149e-07,4.8054440000009149e-07,4.8054440000009149e-07
0.025000000000000001,0.0033310170792000002,0.0033311675805999998,0.0033311675805999998,0.0033311675805999998,1.5050139999962103e-07,1.5050139999962103e-07,1.5050139999962103e-07
0.025999999999999999,0.0035999846923999998,0.0035997520916000001,0.0035997520916000001,0.0035997520916000001,2.326007999997777e-07,2.326007999997777e-07,2.326007999997777e-07
0.027,0.0038791636013,0.0038784923909000002,0.0038784923909000002,0.0038784923909000002,6.7121039999977136e-07,6.7121039999977136e-07,6.7121039999977136e-07
0.028000000000000001,0.0041685280296999997,0.0041673605690000001,0.0041673605690000001,0.0041673605690000001,1.1674606999996853e-06,1.1674606999996853e-06,1.1674606999996853e-06
