scenario,integer_shear,reconnection,local_load,absolute_load,energy,max_abs_eigenvalue,min_abs_eigenvalue,tangent_condition
distorted current,0,edge flip,0.1,0.1,0.0097604,30.60794538980791,0.019988506613751837,1531.2772475333418
distorted current,0,edge flip,0.2,0.2,0.025144,29.098057336056797,0.02006769478359696,1449.9950118755605
distorted current,0,edge flip,0.3,0.3,0.036803,28.46483434895451,0.009688645057724979,2937.958215969409
distorted current,0,edge flip,0.4,0.4,0.043233,28.142913233590075,0.0016515194555081182,17040.618649528067
distorted current,0,edge flip,0.5,0.5,0.04521,28.037984734443768,0.0011116370654553635,25222.247085615552
distorted current,0,edge flip,0.6,0.6,0.043233,28.14291323359008,0.0016515194555095248,17040.618649513555
distorted current,0,edge flip,0.7,0.7,0.036803,28.46483434895449,0.009688645057728441,2937.958215968357
distorted current,0,edge flip,0.8,0.8,0.025144,29.098057336056797,0.02006769478359692,1449.9950118755633
distorted current,0,edge flip,0.9,0.9,0.0097604,30.60794538980789,0.019988506613751345,1531.2772475333786
distorted current,0,no reconnection,0.1,0.1,0.0097604,30.60794538980791,0.019988506613751837,1531.2772475333418
distorted current,0,no reconnection,0.2,0.2,0.025144,29.098057336056797,0.02006769478359696,1449.9950118755605
distorted current,0,no reconnection,0.3,0.3,0.036803,28.46483434895451,0.009688645057724979,2937.958215969409
distorted current,0,no reconnection,0.4,0.4,0.043233,28.142913233590075,0.0016515194555081182,17040.618649528067
distorted current,0,no reconnection,0.5,0.5,0.04521,28.037984734443768,0.0011116370654553635,25222.247085615552
distorted current,0,no reconnection,0.6,0.6,0.043233,28.14291323359008,0.0016515194555095248,17040.618649513555
distorted current,0,no reconnection,0.7,0.7,0.036803,28.46483434895449,0.009688645057728441,2937.958215968357
distorted current,0,no reconnection,0.8,0.8,0.025144,29.098057336056797,0.02006769478359692,1449.9950118755633
distorted current,0,no reconnection,0.9,0.9,0.0097604,30.60794538980789,0.019988506613751345,1531.2772475333786
distorted current,2,edge flip,0.1,2.1,0.0097604,30.60794538980791,0.019988506613751837,1531.2772475333418
distorted current,2,edge flip,0.2,2.2,0.025144,29.098057336056797,0.02006769478359696,1449.9950118755605
distorted current,2,edge flip,0.3,2.3,0.036803,28.46483434895451,0.009688645057724979,2937.958215969409
distorted current,2,edge flip,0.4,2.4,0.043233,28.142913233590075,0.0016515194555081182,17040.618649528067
distorted current,2,edge flip,0.5,2.5,0.04521,28.037984734443768,0.0011116370654553635,25222.247085615552
distorted current,2,edge flip,0.6,2.6,0.043233,28.14291323359008,0.0016515194555095248,17040.618649513555
distorted current,2,edge flip,0.7,2.7,0.036803,28.46483434895449,0.009688645057728441,2937.958215968357
distorted current,2,edge flip,0.8,2.8,0.025144,29.098057336056797,0.02006769478359692,1449.9950118755633
distorted current,2,edge flip,0.9,2.9,0.0097604,30.60794538980789,0.019988506613751345,1531.2772475333786
distorted current,2,no reconnection,0.1,2.1,0.0097604,73.89973286706467,0.011142647353546904,6632.152173741823
distorted current,2,no reconnection,0.2,2.2,0.025144,73.90636082827535,0.010135840933989736,7291.586490908342
distorted current,2,no reconnection,0.3,2.3,0.036803,77.590079985207,0.0041773379789986015,18574.04892189428
distorted current,2,no reconnection,0.4,2.4,0.043233,83.7096568037839,0.0006075648060114662,137778.97596360132
distorted current,2,no reconnection,0.5,2.5,0.04521,91.41765516741573,0.00035404789259692126,258207.03096655203
distorted current,2,no reconnection,0.6,2.6,0.043233,99.95163987902279,0.0004760884827118952,209943.41074935958
distorted current,2,no reconnection,0.7,2.7,0.036803,108.7011354262943,0.0026098256223678075,41650.72734923699
distorted current,2,no reconnection,0.8,2.8,0.025144,117.60650436986043,0.005150798082702265,22832.676117670777
distorted current,2,no reconnection,0.9,2.9,0.0097604,129.01100141607083,0.004982668888726444,25891.947527953373
distorted current,5,edge flip,0.1,5.1,0.0097604,30.60794538980791,0.019988506613751837,1531.2772475333418
distorted current,5,edge flip,0.2,5.2,0.025144,29.098057336056797,0.02006769478359696,1449.9950118755605
distorted current,5,edge flip,0.3,5.3,0.036803,28.46483434895451,0.009688645057724979,2937.958215969409
distorted current,5,edge flip,0.4,5.4,0.043233,28.142913233590075,0.0016515194555081182,17040.618649528067
distorted current,5,edge flip,0.5,5.5,0.04521,28.037984734443768,0.0011116370654553635,25222.247085615552
distorted current,5,edge flip,0.6,5.6,0.043233,28.14291323359008,0.0016515194555095248,17040.618649513555
distorted current,5,edge flip,0.7,5.7,0.036803,28.46483434895449,0.009688645057728441,2937.958215968357
distorted current,5,edge flip,0.8,5.8,0.025144,29.098057336056797,0.02006769478359692,1449.9950118755633
distorted current,5,edge flip,0.9,5.9,0.0097604,30.60794538980789,0.019988506613751345,1531.2772475333786
distorted current,5,no reconnection,0.1,5.1,0.0097604,403.79839949000404,0.0019772226187906726,204225.05571829792
distorted current,5,no reconnection,0.2,5.2,0.025144,404.09275281006245,0.0018572966899279809,217570.383343402
distorted current,5,no reconnection,0.3,5.3,0.036803,409.205710270836,0.0008141431050950757,502621.3545382159
distorted current,5,no reconnection,0.4,5.4,0.043233,420.9587179187206,0.00012551710599271622,3353795.600921112
distorted current,5,no reconnection,0.5,5.5,0.04521,440.0757030502279,7.739948560293564e-05,5685770.3849331075
distorted current,5,no reconnection,0.6,5.6,0.043233,464.9972710368192,0.00010983196060522404,4233715.472932221
distorted current,5,no reconnection,0.7,5.7,0.036803,492.38434741880576,0.0006293460394475924,782374.5865644844
distorted current,5,no reconnection,0.8,5.8,0.025144,518.4743437591773,0.0012853950857079168,403357.9632628153
