scenario,window,window_start,reference_shear,reconnection,local_load,absolute_load,energy_mean,median_max_abs_eigenvalue,median_min_abs_eigenvalue,median_condition,p90_condition
current geometry,0-1,0.0,0.0,with reconnection,0.1,0.1,0.0097604,30.60794538980791,0.019988506613751837,1531.2772475333418,1531.2772475333418
current geometry,0-1,0.0,0.0,with reconnection,0.2,0.2,0.025144,29.098057336056797,0.02006769478359696,1449.9950118755605,1449.9950118755605
current geometry,0-1,0.0,0.0,with reconnection,0.3,0.3,0.036803,28.46483434895451,0.009688645057724979,2937.958215969409,3965.3902560856154
current geometry,0-1,0.0,0.0,with reconnection,0.4,0.4,0.043232999999999994,28.142913233590086,0.0016515194555077215,17040.61864953216,42392.93920022676
current geometry,0-1,0.0,0.0,with reconnection,0.5,0.5,0.04521,28.037984734443768,0.0011116370654553635,25222.247085615552,124634.23762756104
current geometry,0-1,0.0,0.0,with reconnection,0.6,0.6,0.043232999999999994,28.14291323359008,0.0016515194555095248,17040.618649513555,158799.91200028744
current geometry,0-1,0.0,0.0,with reconnection,0.7,0.7,0.036803,28.46483434895449,0.009688645057728441,2937.958215968357,47550.34613631947
current geometry,0-1,0.0,0.0,with reconnection,0.8,0.8,0.025144,29.098057336056797,0.02006769478359692,1449.9950118755633,37673.644428435255
current geometry,0-1,0.0,0.0,with reconnection,0.9,0.9,0.0097604,30.6079453898079,0.019988506613751345,1531.2772475333786,58781.48349362768
current geometry,5-6,5.0,0.0,with reconnection,0.1,5.1,0.0097604,542.6267399660705,0.0012767154316373095,425017.7655252313,4037421.5453606034
current geometry,5-6,5.0,0.0,with reconnection,0.2,5.2,0.025144,518.4743437591776,0.0012853950856939406,403357.96326720127,4727184.0801789425
current geometry,5-6,5.0,0.0,with reconnection,0.3,5.3,0.036803,492.3843474188088,0.000629346039474953,782374.5865304756,11616356.30750039
current geometry,5-6,5.0,0.0,with reconnection,0.4,5.4,0.043232999999999994,464.99727103682307,0.00010983196059622141,4233715.473279282,81290847.41118172
current geometry,5-6,5.0,0.0,with reconnection,0.5,5.5,0.04521,440.0757030502295,7.739948559934911e-05,5685770.385196575,143475076.97709963
current geometry,5-6,5.0,0.0,with reconnection,0.6,5.6,0.043232999999999994,420.9587179187215,0.0001255171059818199,3353795.601212261,111232497.88658375
current geometry,5-6,5.0,0.0,with reconnection,0.7,5.7,0.036803,409.2057102708391,0.0008141431050852363,502621.35454429407,21523120.16318482
