integer_shear,reference_shear,reconnection,local_load,absolute_load,kappa_geo,kappa_mat,kappa_tan
0,-0.0,edge flip,0.1,0.1,2.45715931505401,1164.8901933429468,1531.2772475333418
0,-0.0,edge flip,0.2,0.2,2.018786171763159,1229.0593260505743,1449.9950118755605
0,-0.0,edge flip,0.3,0.3,1.6751839740415186,2786.716182296077,2937.958215969409
0,-0.0,edge flip,0.4,0.4,1.431627718122552,18210.028828208266,17040.618649528067
0,-0.0,edge flip,0.5,0.5,1.3333333333333333,30498.295842005606,25222.247085615552
0,-0.0,edge flip,0.6,0.6,1.4316277181225527,22952.189543396187,17040.618649513555
0,-0.0,edge flip,0.7,0.7,1.6751839740415189,4322.32969318408,2937.958215968357
0,-0.0,edge flip,0.8,0.8,2.0187861717631583,2298.58478440889,1449.9950118755633
0,-0.0,edge flip,0.9,0.9,2.4571593150540116,2614.943664247957,1531.2772475333786
0,-0.0,no reconnection,0.1,0.1,2.45715931505401,1164.8901933429468,1531.2772475333418
0,-0.0,no reconnection,0.2,0.2,2.018786171763159,1229.0593260505743,1449.9950118755605
0,-0.0,no reconnection,0.3,0.3,1.6751839740415186,2786.716182296077,2937.958215969409
0,-0.0,no reconnection,0.4,0.4,1.431627718122552,18210.028828208266,17040.618649528067
0,-0.0,no reconnection,0.5,0.5,1.3333333333333333,30498.295842005606,25222.247085615552
0,-0.0,no reconnection,0.6,0.6,1.4316277181225527,22952.189543396187,17040.618649513555
0,-0.0,no reconnection,0.7,0.7,1.6751839740415189,4322.32969318408,2937.958215968357
0,-0.0,no reconnection,0.8,0.8,2.0187861717631583,2298.58478440889,1449.9950118755633
0,-0.0,no reconnection,0.9,0.9,2.4571593150540116,2614.943664247957,1531.2772475333786
2,-2.0,edge flip,0.1,0.1,2.45715931505401,11270.394031291968,1531.2772475326528
2,-2.0,edge flip,0.2,0.2,2.018786171763159,12288.38526310814,1449.995011875674
2,-2.0,edge flip,0.3,0.3,1.6751839740415186,30460.547963939738,2937.958215967907
2,-2.0,edge flip,0.4,0.4,1.431627718122552,219598.1720732324,17040.61864948499
2,-2.0,edge flip,0.5,0.5,1.3333333333333333,400899.0015088192,25222.247085650593
2,-2.0,edge flip,0.6,0.6,1.4316277181225543,318547.9744843569,17040.618649578697
2,-2.0,edge flip,0.7,0.7,1.675183974041522,62026.96776704903,2937.95821596883
2,-2.0,edge flip,0.8,0.8,2.018786171763162,33424.4727050179,1449.9950118754953
2,-2.0,edge flip,0.9,0.9,2.4571593150540147,37030.88191627612,1531.2772475337672
2,-2.0,no reconnection,0.1,0.1,2.45715931505401,11270.394031291968,1531.2772475326528
2,-2.0,no reconnection,0.2,0.2,2.018786171763159,12288.38526310814,1449.995011875674
2,-2.0,no reconnection,0.3,0.3,1.6751839740415186,30460.547963939738,2937.958215967907
2,-2.0,no reconnection,0.4,0.4,1.431627718122552,219598.1720732324,17040.61864948499
2,-2.0,no reconnection,0.5,0.5,1.3333333333333333,400899.0015088192,25222.247085650593
2,-2.0,no reconnection,0.6,0.6,1.4316277181225543,318547.9744843569,17040.618649578697
2,-2.0,no reconnection,0.7,0.7,1.675183974041522,62026.96776704903,2937.95821596883
2,-2.0,no reconnection,0.8,0.8,2.018786171763162,33424.4727050179,1449.9950118754953
2,-2.0,no reconnection,0.9,0.9,2.4571593150540147,37030.88191627612,1531.2772475337672
5,-5.0,edge flip,0.1,0.1,2.457159315054012,230776.5426473055,1531.2772475307631
5,-5.0,edge flip,0.2,0.2,2.0187861717631628,244897.75653302725,1449.9950118785903
5,-5.0,edge flip,0.3,0.3,1.6751839740415222,560452.7253184695,2937.95821598563
5,-5.0,edge flip,0.4,0.4,1.4316277181225538,3699763.58988289,17040.6186497143
5,-5.0,edge flip,0.5,0.5,1.3333333333333333,6205503.157208651,25222.24708626905
5,-5.0,edge flip,0.6,0.6,1.431627718122549,4576731.347586774,17040.618649787437
5,-5.0,edge flip,0.7,0.7,1.6751839740415122,839203.2143139194,2937.9582159519523
5,-5.0,edge flip,0.8,0.8,2.0187861717631472,429912.7954231947,1449.9950118780127
5,-5.0,edge flip,0.9,0.9,2.457159315053995,450231.1363414283,1531.2772475267493
5,-5.0,no reconnection,0.1,0.1,2.457159315054012,230776.5426473055,1531.2772475307631
5,-5.0,no reconnection,0.2,0.2,2.0187861717631628,244897.75653302725,1449.9950118785903
5,-5.0,no reconnection,0.3,0.3,1.6751839740415222,560452.7253184695,2937.95821598563
5,-5.0,no reconnection,0.4,0.4,1.4316277181225538,3699763.58988289,17040.6186497143
5,-5.0,no reconnection,0.5,0.5,1.3333333333333333,6205503.157208651,25222.24708626905
5,-5.0,no reconnection,0.6,0.6,1.431627718122549,4576731.347586774,17040.618649787437
5,-5.0,no reconnection,0.7,0.7,1.6751839740415122,839203.2143139194,2937.9582159519523
5,-5.0,no reconnection,0.8,0.8,2.0187861717631472,429912.7954231947,1449.9950118780127
5,-5.0,no reconnection,0.9,0.9,2.457159315053995,450231.1363414283,1531.2772475267493
10,-10.0,edge flip,0.1,0.1,2.457159315054012,3294288.521215076,1531.2772475507575
10,-10.0,edge flip,0.2,0.2,2.0187861717631628,3426750.3013470895,1449.9950118920335
10,-10.0,edge flip,0.3,0.3,1.6751839740415222,7522273.125426432,2937.9582160240425
10,-10.0,edge flip,0.4,0.4,1.4316277181225538,47309948.62828058,17040.61864983234
10,-10.0,edge flip,0.5,0.5,1.3333333333333333,75488300.58830889,25222.24708512848
10,-10.0,edge flip,0.6,0.6,1.431627718122549,53177646.960443944,17040.61864671035
10,-10.0,edge flip,0.7,0.7,1.6751839740415122,9385919.74592219,2937.9582159497577
10,-10.0,edge flip,0.8,0.8,2.0187861717631472,4661297.50773635,1449.995011893475
10,-10.0,edge flip,0.9,0.9,2.457159315053995,4749088.725740614,1531.2772474938665
10,-10.0,no reconnection,0.1,0.1,2.457159315054012,3294288.521215076,1531.2772475507575
10,-10.0,no reconnection,0.2,0.2,2.0187861717631628,3426750.3013470895,1449.9950118920335
10,-10.0,no reconnection,0.3,0.3,1.6751839740415222,7522273.125426432,2937.9582160240425
10,-10.0,no reconnection,0.4,0.4,1.4316277181225538,47309948.62828058,17040.61864983234
10,-10.0,no reconnection,0.5,0.5,1.3333333333333333,75488300.58830889,25222.24708512848
10,-10.0,no reconnection,0.6,0.6,1.431627718122549,53177646.960443944,17040.61864671035
10,-10.0,no reconnection,0.7,0.7,1.6751839740415122,9385919.74592219,2937.9582159497577
10,-10.0,no reconnection,0.8,0.8,2.0187861717631472,4661297.50773635,1449.995011893475
10,-10.0,no reconnection,0.9,0.9,2.457159315053995,4749088.725740614,1531.2772474938665
