label,load,energy_mean,median_max_abs_eigenvalue,p90_max_abs_eigenvalue,median_min_abs_eigenvalue,median_condition,p90_condition,median_most_negative_eigenvalue,median_largest_positive_eigenvalue
with reconnection,0.0,-2.2204e-16,36.06513600749263,16545.601785743973,1.5610825422673009e-13,231026451395145.22,6414415145881892.0,-1.5610825422673009e-13,36.06513600749263
with reconnection,0.1,0.0097604,30.60794538979775,16061.537929006598,0.019988506613590522,1531.2772475451914,350875697.21849406,-0.019988506613590522,30.60794538979775
with reconnection,0.2,0.025144,29.098057336048463,15457.494321280548,0.020067694783704786,1449.9950118673542,337544570.2458676,-1.5108959397312045,29.098057336048463
with reconnection,0.3,0.036803,28.464834348941814,14741.746359547187,0.009688645057486294,2937.9582160404766,669573566.2564687,-2.0356930039081487,28.464834348941814
with reconnection,0.4,0.043232999999999994,28.14291323357369,14063.48135130294,0.00165151945567671,17040.61864777859,3755858882.215665,-1.7076005208448946,28.14291323357369
with reconnection,0.5,0.04521,28.037984734490976,13545.101076350196,0.0011116370655371835,25222.247083801583,5300912470.176936,-1.4434056711560233,28.037984734490976
with reconnection,0.6,0.043232999999999994,28.14291323354146,13235.043874555256,0.0016515194553605077,17040.618651021687,3305133522.7160845,-1.7076005208487126,28.14291323354146
with reconnection,0.7,0.036803,28.46483434895113,13093.125394023606,0.009688645057699426,2937.9582159768083,520944949.001165,-2.0356930039087056,28.46483434895113
with reconnection,0.8,0.025144,29.098057336064755,13009.081078716416,0.0200676947836105,1449.9950118749737,233755609.02865082,-1.5108959397289519,29.098057336064755
with reconnection,0.9,0.0097604,30.607945389759053,12846.65772262286,0.01998850661403312,1531.277247509349,218538800.86649433,-0.01998850661403312,30.607945389759053
with reconnection,1.0,-7.401333333333333e-17,36.06513600751851,6121.793158479159,4.519038430619096e-14,801043629212218.1,2.0504873958643624e+16,-3.7954479824175046e-14,36.06513600751851
without reconnection,0.0,-2.2204e-16,36.06513600749263,16545.601785743973,1.5610825422673009e-13,231026451395145.22,6414415145881892.0,-1.5610825422673009e-13,36.06513600749263
without reconnection,0.1,0.0097604,30.60794538979775,16061.537929006598,0.019988506613590522,1531.2772475451914,350875697.21849406,-0.019988506613590522,30.60794538979775
without reconnection,0.2,0.025144,29.098057336048463,15457.494321280548,0.020067694783704786,1449.9950118673542,337544570.2458676,-1.5108959397312045,29.098057336048463
without reconnection,0.3,0.036803,28.464834348941814,14741.746359547187,0.009688645057486294,2937.9582160404766,669573566.2564687,-2.0356930039081487,28.464834348941814
without reconnection,0.4,0.043232999999999994,28.14291323357369,14063.48135130294,0.00165151945567671,17040.61864777859,3755858882.215665,-1.7076005208448946,28.14291323357369
without reconnection,0.5,0.04521,28.037984734490976,13545.101076350196,0.0011116370655371835,25222.247083801583,5300912470.176936,-1.4434056711560233,28.037984734490976
without reconnection,0.6,0.043232999999999994,28.14291323354146,13235.043874555256,0.0016515194553605077,17040.618651021687,3305133522.7160845,-1.7076005208487126,28.14291323354146
without reconnection,0.7,0.036803,28.46483434895113,13093.125394023606,0.009688645057699426,2937.9582159768083,520944949.001165,-2.0356930039087056,28.46483434895113
without reconnection,0.8,0.025144,29.098057336064755,13009.081078716416,0.0200676947836105,1449.9950118749737,233755609.02865082,-1.5108959397289519,29.098057336064755
without reconnection,0.9,0.0097604,30.607945389759053,12846.65772262286,0.01998850661403312,1531.277247509349,218538800.86649433,-0.01998850661403312,30.607945389759053
without reconnection,1.0,-7.401333333333333e-17,36.06513600751851,12503.750770891154,4.519038430619096e-14,801043629212218.1,1.1616552062682066e+16,-1.060816311583408e-14,36.06513600751851
