label,load,energy_mean,median_max_abs_eigenvalue,median_condition
"simple shear, edge flip",0.1,0.0097604,30.60794538980791,1531.2772475333418
"simple shear, edge flip",0.2,0.025144,29.098057336056797,1449.9950118755605
"simple shear, edge flip",0.3,0.036803,28.46483434895451,2937.958215969409
"simple shear, edge flip",0.4,0.043232999999999994,28.142913233590075,17040.618649528067
"simple shear, edge flip",0.5,0.04521,28.037984734443768,25222.247085615552
"simple shear, edge flip",0.6,0.043232999999999994,28.14291323359008,17040.618649513555
"simple shear, edge flip",0.7,0.036803,28.46483434895449,2937.958215968357
"simple shear, edge flip",0.8,0.025144,29.098057336056797,1449.9950118755633
"simple shear, edge flip",0.9,0.0097604,30.60794538980789,1531.2772475333786
"simple shear, edge flip",1.0,-2.7138333333333336e-16,36.06513600752701,1.0387813814552098e+16
"simple shear, edge flip",1.1,0.0097604,30.60794538980791,1531.2772475333418
"simple shear, edge flip",1.2,0.025144,29.098057336056797,1449.9950118755605
"simple shear, edge flip",1.3,0.036803,28.46483434895451,2937.958215969409
"simple shear, edge flip",1.4,0.043232999999999994,28.142913233590075,17040.618649528067
"simple shear, edge flip",1.5,0.04521,28.037984734443768,25222.247085615552
"simple shear, edge flip",1.6,0.043232999999999994,28.14291323359008,17040.618649513555
"simple shear, edge flip",1.7,0.036803,28.46483434895449,2937.958215968357
"simple shear, edge flip",1.8,0.025144,29.098057336056797,1449.9950118755633
"simple shear, edge flip",1.9,0.0097604,30.60794538980789,1531.2772475333786
"simple shear, edge flip",2.0,-2.097072222222222e-16,36.0651360075269,9117564195404426.0
"simple shear, edge flip",2.1,0.0097604,30.60794538980791,1531.2772475333418
"simple shear, edge flip",2.2,0.025144,29.098057336056797,1449.9950118755605
"simple shear, edge flip",2.3,0.036803,28.46483434895451,2937.958215969409
"simple shear, edge flip",2.4,0.043232999999999994,28.142913233590075,17040.618649528067
"simple shear, edge flip",2.5,0.04521,28.037984734443768,25222.247085615552
"simple shear, edge flip",2.6,0.043232999999999994,28.14291323359008,17040.618649513555
"simple shear, edge flip",2.7,0.036803,28.46483434895449,2937.958215968357
"simple shear, edge flip",2.8,0.025144,29.098057336056797,1449.9950118755633
"simple shear, edge flip",2.9,0.0097604,30.60794538980789,1531.2772475333786
"simple shear, edge flip",3.0,-1.3569111111111112e-16,36.0651360075269,1.0387813814552098e+16
"simple shear, edge flip",3.1,0.0097604,30.60794538980791,1531.2772475333418
"simple shear, edge flip",3.2,0.025144,29.098057336056797,1449.9950118755605
"simple shear, edge flip",3.3,0.036803,28.46483434895451,2937.958215969409
"simple shear, edge flip",3.4,0.043232999999999994,28.142913233590075,17040.618649528067
"simple shear, edge flip",3.5,0.04521,28.037984734443768,25222.247085615552
"simple shear, edge flip",3.6,0.043232999999999994,28.14291323359008,17040.618649513555
"simple shear, edge flip",3.7,0.036803,28.46483434895449,2937.958215968357
"simple shear, edge flip",3.8,0.025144,29.098057336056797,1449.9950118755633
"simple shear, edge flip",3.9,0.0097604,30.60794538980789,1531.2772475333786
"simple shear, edge flip",4.0,-2.2204e-16,36.06513600752681,1.39605573681738e+16
"simple shear, edge flip",4.1,0.0097604,30.60794538980791,1531.2772475333418
"simple shear, edge flip",4.2,0.025144,29.098057336056797,1449.9950118755605
"simple shear, edge flip",4.3,0.036803,28.46483434895451,2937.958215969409
"simple shear, edge flip",4.4,0.043232999999999994,28.142913233590075,17040.618649528067
"simple shear, edge flip",4.5,0.04521,28.037984734443768,25222.247085615552
"simple shear, edge flip",4.6,0.043232999999999994,28.14291323359008,17040.618649513555
"simple shear, edge flip",4.7,0.036803,28.46483434895449,2937.958215968357
"simple shear, edge flip",4.8,0.025144,29.098057336056797,1449.9950118755633
"simple shear, edge flip",4.9,0.0097604,30.60794538980789,1531.2772475333786
"simple shear, edge flip",5.0,-2.2204e-16,36.06513600752701,1.0387813814552098e+16
"simple shear, edge flip",5.1,0.0097604,30.60794538980791,1531.2772475333418
"simple shear, edge flip",5.2,0.025144,29.098057336056797,1449.9950118755605
"simple shear, edge flip",5.3,0.036803,28.46483434895451,2937.958215969409
"simple shear, edge flip",5.4,0.043232999999999994,28.142913233590075,17040.618649528067
"simple shear, edge flip",5.5,0.04521,28.037984734443768,25222.247085615552
"simple shear, edge flip",5.6,0.043232999999999994,28.14291323359008,17040.618649513555
"simple shear, edge flip",5.7,0.036803,28.46483434895449,2937.958215968357
"simple shear, edge flip",5.8,0.025144,29.098057336056797,1449.9950118755633
"simple shear, edge flip",5.9,0.0097604,30.60794538980789,1531.2772475333786
"simple shear, edge flip",6.0,-2.2204e-16,36.06513600752701,1.0387813814552098e+16
"simple shear, edge flip",6.1,0.0097604,30.60794538980791,1531.2772475333418
"simple shear, edge flip",6.2,0.025144,29.098057336056797,1449.9950118755605
"simple shear, edge flip",6.3,0.036803,28.46483434895451,2937.958215969409
"simple shear, edge flip",6.4,0.043232999999999994,28.142913233590075,17040.618649528067
"simple shear, edge flip",6.5,0.04521,28.037984734443768,25222.247085615552
"simple shear, edge flip",6.6,0.043232999999999994,28.14291323359008,17040.618649513555
"simple shear, edge flip",6.7,0.036803,28.46483434895449,2937.958215968357
"simple shear, edge flip",6.8,0.025144,29.098057336056797,1449.9950118755633
"simple shear, edge flip",6.9,0.0097604,30.60794538980789,1531.2772475333786
"simple shear, edge flip",7.0,-1.2335555555555557e-16,36.06513600752701,1.0387813814552098e+16
"simple shear, edge flip",7.1,0.0097604,30.60794538980791,1531.2772475333418
"simple shear, edge flip",7.2,0.025144,29.098057336056797,1449.9950118755605
"simple shear, edge flip",7.3,0.036803,28.46483434895451,2937.958215969409
"simple shear, edge flip",7.4,0.043232999999999994,28.142913233590075,17040.618649528067
"simple shear, edge flip",7.5,0.04521,28.037984734443768,25222.247085615552
"simple shear, edge flip",7.6,0.043232999999999994,28.14291323359008,17040.618649513555
"simple shear, edge flip",7.7,0.036803,28.46483434895449,2937.958215968357
"simple shear, edge flip",7.8,0.025144,29.098057336056797,1449.9950118755633
"simple shear, edge flip",7.9,0.0097604,30.60794538980789,1531.2772475333786
"simple shear, edge flip",8.0,-7.401333333333334e-17,36.06513600752701,1.0387813814552098e+16
"simple shear, edge flip",8.1,0.0097604,30.60794538980791,1531.2772475333418
"simple shear, edge flip",8.2,0.025144,29.098057336056797,1449.9950118755605
"simple shear, edge flip",8.3,0.036803,28.46483434895451,2937.958215969409
"simple shear, edge flip",8.4,0.043232999999999994,28.142913233590075,17040.618649528067
"simple shear, edge flip",8.5,0.04521,28.037984734443768,25222.247085615552
"simple shear, edge flip",8.6,0.043232999999999994,28.14291323359008,17040.618649513555
"simple shear, edge flip",8.7,0.036803,28.46483434895449,2937.958215968357
"simple shear, edge flip",8.8,0.025144,29.098057336056797,1449.9950118755633
"simple shear, edge flip",8.9,0.0097604,30.60794538980789,1531.2772475333786
"simple shear, edge flip",9.0,-1.4803e-16,36.06513600752701,1.0387813814552098e+16
"simple shear, edge flip",9.1,0.0097604,30.60794538980791,1531.2772475333418
"simple shear, edge flip",9.2,0.025144,29.098057336056797,1449.9950118755605
