label,period,load,energy_mean,energy_std,median_max_abs_eigenvalue,p90_max_abs_eigenvalue,median_min_abs_eigenvalue,median_condition,p90_condition,median_most_negative_eigenvalue,median_largest_positive_eigenvalue
without reconnection,0,0.2,0.025144,0.0,29.098057336056797,29.513928176734094,0.02006769478359696,1449.9950118755605,1449.9950118755605,-1.5108959397295754,29.098057336056797
without reconnection,1,1.2,0.025144,0.0,35.43689870081086,341.73532565779203,0.01990958150929757,1779.891691056499,155269.3628863166,-1.2388704892408533,35.43689870081086
without reconnection,2,2.2,0.025144,0.0,73.90636082827535,1217.222132911516,0.010135840933989736,7291.586490908342,2003989.8288509545,-0.8768323564479991,73.90636082827535
without reconnection,3,3.2,0.025144,0.0,148.5278896661457,2651.861065842606,0.005094706327231075,29153.376097905377,9597186.880254172,-1.251837267345737,148.5278896661457
without reconnection,4,4.2,0.025144,0.0,258.72246414696036,4645.387874138056,0.0029161805292339613,88719.63225641694,29601826.177394357,-3.4623235985778065,258.72246414696036
without reconnection,5,5.2,0.025144,0.0,404.09275281006245,7197.757044637894,0.0018572966899279809,217570.383343402,71302070.80806534,-8.809966326277394,404.09275281006245
without reconnection,6,6.2,0.025144,0.0,584.5001337736663,10308.95485439179,0.0012775616986286152,457512.25510367734,146599280.35948974,-16.424203414497384,584.5001337736663
without reconnection,7,7.2,0.025144,0.0,799.8902692218351,13978.975820920978,0.0009294819518802688,860576.4400306195,270012004.55330515,-25.931512572035345,799.8902692218351
without reconnection,8,8.2,0.025144,0.0,1050.238618715096,18207.817342069346,0.0007053229969162803,1489017.9723428984,458675987.4600055,-37.23933369924425,1050.238618715096
without reconnection,9,9.2,0.025144,0.0,1335.5327659579034,22995.478029265556,0.0005529434053870175,2415315.478847485,732344169.3662535,-50.31492634359148,1335.5327659579034
without reconnection,10,10.2,0.025144,0.0,1655.7658498520595,28341.957075724167,0.000444838727869469,3722171.0838493323,1113386673.5292025,-65.1435564108678,1655.7658498520595
without reconnection,11,11.2,0.025144,0.0,2010.9338070400931,34247.25398135917,0.0003654575226052187,5502510.367565703,1626790888.910414,-81.71754758130837,2010.9338070400931
with reconnection,0,0.2,0.025144,0.0,29.098057336056797,29.513928176734094,0.02006769478359696,1449.9950118755605,1449.9950118755605,-1.5108959397295754,29.098057336056797
with reconnection,1,1.2,0.025144,0.0,54.78417122871414,114.37192224779325,0.010266343416253692,5336.288589565369,17308.916209657225,-1.2908409196499404,54.78417122871414
with reconnection,2,2.2,0.025144,0.0,117.60650436986056,341.73532565779215,0.005150798082708604,22832.676117642703,155269.36288483746,-2.4930808990649154,117.60650436986056
with reconnection,3,3.2,0.025144,0.0,216.14640162994218,709.5382372057506,0.002942072280067195,73467.40020439115,676020.7763296216,-6.948132479271039,216.14640162994218
with reconnection,4,4.2,0.025144,0.0,349.8154287030869,1217.2221329115162,0.0018708304208807998,186984.03917250363,2003989.8287841384,-14.168803011862087,349.8154287030869
with reconnection,5,5.2,0.025144,0.0,518.4743437591776,1864.6746268579877,0.0012853950856939406,403357.96326720127,4727184.0801789425,-23.38061168222485,518.4743437591776
with reconnection,6,6.2,0.025144,0.0,722.0827510961274,2651.861065842611,0.0009343838583369643,772790.2667125533,9597186.881868193,-34.40642677277118,722.0827510961274
with reconnection,7,7.2,0.025144,0.0,960.6265996030988,3578.767644812045,0.000708580256472056,1355706.1332557502,17529156.54027232,-47.19712990727931,960.6265996030988
with reconnection,8,8.2,0.025144,0.0,1234.1003451121192,4645.3878741380495,0.0005552121943209413,2222754.3950498076,29601826.10336037,-61.73494250326968,1234.1003451121192
with reconnection,9,9.2,0.025144,0.0,1542.501609047209,5851.718329761357,0.00044647976961620356,3454807.3933409164,47057503.32413297,-78.01225755991447,1542.501609047209
with reconnection,10,10.2,0.025144,0.0,1885.8293187058189,7197.75704463781,0.0003666816346776053,5142960.924028503,71302071.0131495,-96.0254393780683,1885.8293187058189
with reconnection,11,11.2,0.025144,0.0,2264.0829819098067,8683.502812501169,0.0003064319543834052,7388534.222762565,103904984.41831155,-115.77260965210777,2264.0829819098067
