label,period,load,energy,max_abs_eigenvalue,min_abs_eigenvalue,tangent_condition,most_negative_eigenvalue,largest_positive_eigenvalue
"simple shear, no reconnection",0,0.2,0.025144,29.098057336056797,0.02006769478359696,1449.9950118755605,-1.5108959397295754,29.098057336056797
"simple shear, no reconnection",1,1.2,0.025144,35.43689870081084,0.01990958150929981,1779.8916910562982,-1.2388704892408533,35.43689870081084
"simple shear, no reconnection",2,2.2,0.025144,73.90636082827535,0.010135840933989736,7291.586490908342,-0.8768323564479991,73.90636082827535
"simple shear, no reconnection",3,3.2,0.025144,148.5278896661457,0.005094706327231075,29153.376097905377,-1.251837267345737,148.5278896661457
"simple shear, no reconnection",4,4.2,0.025144,258.72246414696036,0.0029161805292339613,88719.63225641694,-3.4623235985778065,258.72246414696036
"simple shear, no reconnection",5,5.2,0.025144,404.09275281006245,0.0018572966899279809,217570.383343402,-8.809966326277387,404.09275281006245
"simple shear, no reconnection",6,6.2,0.025144,584.5001337736646,0.0012775616985858506,457512.2551189937,-16.424203414497295,584.5001337736646
"simple shear, no reconnection",7,7.2,0.025144,799.8902692218323,0.0009294819518868252,860576.4400245481,-25.931512572035267,799.8902692218323
"simple shear, no reconnection",8,8.2,0.025144,1050.238618715096,0.0007053229969162803,1489017.9723428984,-37.23933369924425,1050.238618715096
"simple shear, no reconnection",9,9.2,0.025144,1335.5327659579034,0.0005529434053870175,2415315.478847485,-50.31492634359148,1335.5327659579034
"simple shear, no reconnection",10,10.2,0.025144,1655.7658498520595,0.000444838727869469,3722171.0838493323,-65.1435564108678,1655.7658498520595
"simple shear, edge flip",0,0.2,0.025144,29.098057336056797,0.02006769478359696,1449.9950118755605,-1.5108959397295754,29.098057336056797
"simple shear, edge flip",1,1.2,0.025144,29.098057336056797,0.02006769478359696,1449.9950118755605,-1.5108959397295754,29.098057336056797
"simple shear, edge flip",2,2.2,0.025144,29.098057336056797,0.02006769478359696,1449.9950118755605,-1.5108959397295754,29.098057336056797
"simple shear, edge flip",3,3.2,0.025144,29.098057336056797,0.02006769478359696,1449.9950118755605,-1.5108959397295754,29.098057336056797
"simple shear, edge flip",4,4.2,0.025144,29.098057336056797,0.02006769478359696,1449.9950118755605,-1.5108959397295754,29.098057336056797
"simple shear, edge flip",5,5.2,0.025144,29.098057336056797,0.02006769478359696,1449.9950118755605,-1.5108959397295754,29.098057336056797
"simple shear, edge flip",6,6.2,0.025144,29.098057336056797,0.02006769478359696,1449.9950118755605,-1.5108959397295754,29.098057336056797
"simple shear, edge flip",7,7.2,0.025144,29.098057336056797,0.02006769478359696,1449.9950118755605,-1.5108959397295754,29.098057336056797
"simple shear, edge flip",8,8.2,0.025144,29.098057336056797,0.02006769478359696,1449.9950118755605,-1.5108959397295754,29.098057336056797
"simple shear, edge flip",9,9.2,0.025144,29.098057336056797,0.02006769478359696,1449.9950118755605,-1.5108959397295754,29.098057336056797
"simple shear, edge flip",10,10.2,0.025144,29.098057336056797,0.02006769478359696,1449.9950118755605,-1.5108959397295754,29.098057336056797
