field,quantile,eps_x,seed,value
rev_u,0.5,1e-07,0,2.6908359179500003e-06
rev_u,0.5,1e-07,1,2.6887571123e-06
rev_u,0.5,1e-07,2,2.736015267e-06
rev_u,0.5,1e-07,3,1.8414467292e-06
rev_u,0.5,1e-06,0,1.1232131726e-05
rev_u,0.5,1e-06,1,1.0419368823e-05
rev_u,0.5,1e-06,2,1.0992704725500001e-05
rev_u,0.5,1e-06,3,9.49315835955e-06
rev_u,0.5,1e-05,0,2.4057371896e-05
rev_u,0.5,1e-05,1,2.88541463895e-05
rev_u,0.5,1e-05,2,2.2345016274e-05
rev_u,0.5,1e-05,3,2.38701857815e-05
rev_u,0.5,0.0001,0,6.8523877682e-07
rev_u,0.5,0.0001,1,6.7348145353e-07
rev_u,0.5,0.0001,2,6.9468244488e-07
rev_u,0.5,0.0001,3,7.1145521629e-07
rev_u,0.99,1e-07,0,9.154085441472002e-06
rev_u,0.99,1e-07,1,8.575938526458005e-06
rev_u,0.99,1e-07,2,6.678463413086997e-06
rev_u,0.99,1e-07,3,5.657937855934e-06
rev_u,0.99,1e-06,0,5.353188256955004e-05
rev_u,0.99,1e-06,1,4.9936198393339975e-05
rev_u,0.99,1e-06,2,4.550112759295995e-05
rev_u,0.99,1e-06,3,4.290750892433998e-05
rev_u,0.99,1e-05,0,0.0002521434332671
rev_u,0.99,1e-05,1,0.00038202953725640206
rev_u,0.99,1e-05,2,0.00032666161791400095
rev_u,0.99,1e-05,3,0.00019254850215980014
rev_u,0.99,0.0001,0,1.2420366223319999e-06
rev_u,0.99,0.0001,1,1.246404017248e-06
rev_u,0.99,0.0001,2,1.256233452576e-06
rev_u,0.99,0.0001,3,1.2927771809e-06
rev_energy_density,0.5,1e-07,0,2.1259438654e-15
rev_energy_density,0.5,1e-07,1,1.8872015062e-15
rev_energy_density,0.5,1e-07,2,1.8673063095500004e-15
rev_energy_density,0.5,1e-07,3,1.1709744285e-15
rev_energy_density,0.5,1e-06,0,1.39914391185e-13
rev_energy_density,0.5,1e-06,1,1.3365593076999998e-13
rev_energy_density,0.5,1e-06,2,8.627125680500001e-14
rev_energy_density,0.5,1e-06,3,7.3275430168e-14
rev_energy_density,0.5,1e-05,0,2.8528546635999997e-12
rev_energy_density,0.5,1e-05,1,4.1438610765e-12
rev_energy_density,0.5,1e-05,2,3.3692316491999995e-12
rev_energy_density,0.5,1e-05,3,2.5107766533e-12
rev_energy_density,0.5,0.0001,0,7.485151059e-11
rev_energy_density,0.5,0.0001,1,8.490217169299999e-11
rev_energy_density,0.5,0.0001,2,7.8380946889e-11
rev_energy_density,0.5,0.0001,3,1.0000815109e-10
rev_energy_density,0.99,1e-07,0,3.459683739463006e-14
rev_energy_density,0.99,1e-07,1,3.385844138366008e-14
rev_energy_density,0.99,1e-07,2,2.2739584437379986e-14
rev_energy_density,0.99,1e-07,3,1.722787601475999e-14
rev_energy_density,0.99,1e-06,0,2.761670145875004e-12
rev_energy_density,0.99,1e-06,1,2.7954633879059985e-12
rev_energy_density,0.99,1e-06,2,2.3521914727189965e-12
rev_energy_density,0.99,1e-06,3,1.5000048847789953e-12
rev_energy_density,0.99,1e-05,0,1.228807778903001e-10
rev_energy_density,0.99,1e-05,1,5.250214620658003e-10
rev_energy_density,0.99,1e-05,2,4.087083182202004e-10
rev_energy_density,0.99,1e-05,3,7.999022091100009e-11
rev_energy_density,0.99,0.0001,0,3.423655391528e-10
rev_energy_density,0.99,0.0001,1,4.008923499411996e-10
rev_energy_density,0.99,0.0001,2,3.3464415719040005e-10
rev_energy_density,0.99,0.0001,3,5.548384813228e-10
rev_sigma,0.5,1e-07,0,1.1859657317e-05
rev_sigma,0.5,1e-07,1,1.3901429956e-05
rev_sigma,0.5,1e-07,2,1.23945982455e-05
rev_sigma,0.5,1e-07,3,1.3001083042e-05
rev_sigma,0.5,1e-06,0,1.2626047134e-05
rev_sigma,0.5,1e-06,1,1.2271287938e-05
rev_sigma,0.5,1e-06,2,1.3406649798000001e-05
rev_sigma,0.5,1e-06,3,1.4753149684e-05
rev_sigma,0.5,1e-05,0,1.2842201551e-05
rev_sigma,0.5,1e-05,1,1.40398145315e-05
rev_sigma,0.5,1e-05,2,1.3395068177e-05
rev_sigma,0.5,1e-05,3,1.32507448355e-05
rev_sigma,0.5,0.0001,0,1.8825756002e-05
rev_sigma,0.5,0.0001,1,1.8433631622e-05
rev_sigma,0.5,0.0001,2,1.9463189238e-05
rev_sigma,0.5,0.0001,3,1.868935877e-05
rev_sigma,0.99,1e-07,0,1.9225507660600003e-05
rev_sigma,0.99,1e-07,1,1.957586233706e-05
rev_sigma,0.99,1e-07,2,1.9070888594149998e-05
rev_sigma,0.99,1e-07,3,2.0408211075719998e-05
rev_sigma,0.99,1e-06,0,1.9796531055499998e-05
rev_sigma,0.99,1e-06,1,1.9180682119799998e-05
rev_sigma,0.99,1e-06,2,1.9425811788759997e-05
rev_sigma,0.99,1e-06,3,2.117587693028999e-05
rev_sigma,0.99,1e-05,0,1.945440305443e-05
rev_sigma,0.99,1e-05,1,1.978589175782e-05
rev_sigma,0.99,1e-05,2,1.91739331792e-05
rev_sigma,0.99,1e-05,3,2.0454810492960002e-05
rev_sigma,0.99,0.0001,0,2.513856324968e-05
rev_sigma,0.99,0.0001,1,2.533824357684e-05
rev_sigma,0.99,0.0001,2,2.5426040210400002e-05
rev_sigma,0.99,0.0001,3,2.63461019256e-05
