batch,seed,delta_gamma,eps_x,steps,exposure,recorded_cycles,closing_cycles,avalanches,rev_u_cut
-1,0,1e-06,1e-06,860000,0.86,10218,9697,521,0.0002757314391573753
-1,1,1e-06,1e-06,860000,0.86,10453,9972,481,0.0002757314391573753
-1,2,1e-06,1e-06,860000,0.86,9904,9402,502,0.0002757314391573753
-1,3,1e-06,1e-06,860000,0.86,10267,9779,488,0.0002757314391573753
-1,0,5e-06,1e-06,172000,0.86,10177,9676,501,0.00047675182735645876
-1,1,5e-06,1e-06,172000,0.86,10216,9707,509,0.00047675182735645876
-1,2,5e-06,1e-06,172000,0.86,9256,8785,471,0.00047675182735645876
-1,3,5e-06,1e-06,172000,0.86,9492,9010,482,0.00047675182735645876
-1,0,1e-05,1e-06,86000,0.86,9190,8716,474,0.0005938664008776392
-1,1,1e-05,1e-06,86000,0.86,9187,8727,460,0.0005938664008776392
-1,2,1e-05,1e-06,86000,0.86,10007,9510,497,0.0005938664008776392
-1,3,1e-05,1e-06,86000,0.86,9144,8680,464,0.0005938664008776392
-1,0,5e-05,1e-06,17200,0.86,7320,6838,482,0.00047613462049079765
-1,1,5e-05,1e-06,17200,0.86,7407,6951,456,0.00047613462049079765
-1,2,5e-05,1e-06,17200,0.86,6816,6406,410,0.00047613462049079765
-1,3,5e-05,1e-06,17200,0.86,7430,6965,465,0.00047613462049079765
-1,0,0.0001,1e-06,8600,0.86,5449,5033,416,0.00029746714095865994
-1,1,0.0001,1e-06,8600,0.86,5699,5236,463,0.00029746714095865994
-1,2,0.0001,1e-06,8600,0.86,5633,5210,423,0.00029746714095865994
-1,3,0.0001,1e-06,8600,0.86,5775,5308,467,0.00029746714095865994
