setting,seed,steps,exposure,avalanche_count,P_av,rate,recorded_cycles,closing_cycles
1e-06,0,860000,0.86,521,0.0006058139534883721,605.8139534883721,10218,9697
1e-06,1,860000,0.86,481,0.0005593023255813953,559.3023255813954,10453,9972
1e-06,2,860000,0.86,502,0.0005837209302325581,583.7209302325582,9904,9402
1e-06,3,860000,0.86,488,0.0005674418604651163,567.4418604651163,10267,9779
5e-06,0,172000,0.86,501,0.0029127906976744184,582.5581395348837,10177,9676
5e-06,1,172000,0.86,509,0.002959302325581395,591.8604651162791,10216,9707
5e-06,2,172000,0.86,471,0.002738372093023256,547.6744186046511,9256,8785
5e-06,3,172000,0.86,482,0.002802325581395349,560.4651162790698,9492,9010
1e-05,0,86000,0.86,474,0.005511627906976744,551.1627906976744,9190,8716
1e-05,1,86000,0.86,460,0.005348837209302326,534.8837209302326,9187,8727
1e-05,2,86000,0.86,497,0.0057790697674418605,577.9069767441861,10007,9510
1e-05,3,86000,0.86,464,0.005395348837209302,539.5348837209302,9144,8680
5e-05,0,17200,0.86,482,0.02802325581395349,560.4651162790698,7320,6838
5e-05,1,17200,0.86,456,0.026511627906976743,530.232558139535,7407,6951
5e-05,2,17200,0.86,410,0.023837209302325583,476.74418604651163,6816,6406
5e-05,3,17200,0.86,465,0.02703488372093023,540.6976744186046,7430,6965
0.0001,0,8600,0.86,416,0.04837209302325581,483.72093023255815,5449,5033
0.0001,1,8600,0.86,463,0.05383720930232558,538.3720930232558,5699,5236
0.0001,2,8600,0.86,423,0.049186046511627904,491.8604651162791,5633,5210
0.0001,3,8600,0.86,467,0.05430232558139535,543.0232558139535,5775,5308
