batch,seed,delta_gamma,eps_x,steps,exposure,recorded_cycles,closing_cycles,avalanches,rev_u_cut
-2,0,1e-05,1e-07,86000,0.86,10245,9708,537,0.000169008481728848
-2,1,1e-05,1e-07,86000,0.86,8830,8307,523,0.000169008481728848
-2,2,1e-05,1e-07,86000,0.86,8936,8488,448,0.000169008481728848
-2,3,1e-05,1e-07,86000,0.86,8614,8143,471,0.000169008481728848
-2,0,1e-05,1e-06,86000,0.86,9190,8716,474,0.0005938664008776392
-2,1,1e-05,1e-06,86000,0.86,9187,8727,460,0.0005938664008776392
-2,2,1e-05,1e-06,86000,0.86,10007,9510,497,0.0005938664008776392
-2,3,1e-05,1e-06,86000,0.86,9144,8680,464,0.0005938664008776392
-2,0,1e-05,1e-05,86000,0.86,9350,8900,450,0.0007592652973606341
-2,1,1e-05,1e-05,86000,0.86,9028,8540,488,0.0007592652973606341
-2,2,1e-05,1e-05,86000,0.86,8914,8439,475,0.0007592652973606341
-2,3,1e-05,1e-05,86000,0.86,8307,7900,407,0.0007592652973606341
-2,0,1e-05,0.0001,86000,0.86,6497,2349,4148,2.5006864469579526e-05
-2,1,1e-05,0.0001,86000,0.86,7278,3037,4241,2.5006864469579526e-05
-2,2,1e-05,0.0001,86000,0.86,7004,2813,4191,2.5006864469579526e-05
-2,3,1e-05,0.0001,86000,0.86,6646,2653,3993,2.5006864469579526e-05
