setting,seed,steps,exposure,avalanche_count,P_av,rate,recorded_cycles,closing_cycles
1e-07,0,86000,0.86,537,0.0062441860465116275,624.4186046511628,10245,9708
1e-07,1,86000,0.86,523,0.006081395348837209,608.1395348837209,8830,8307
1e-07,2,86000,0.86,448,0.005209302325581395,520.9302325581396,8936,8488
1e-07,3,86000,0.86,471,0.005476744186046512,547.6744186046511,8614,8143
1e-06,0,86000,0.86,474,0.005511627906976744,551.1627906976744,9190,8716
1e-06,1,86000,0.86,460,0.005348837209302326,534.8837209302326,9187,8727
1e-06,2,86000,0.86,497,0.0057790697674418605,577.9069767441861,10007,9510
1e-06,3,86000,0.86,464,0.005395348837209302,539.5348837209302,9144,8680
1e-05,0,86000,0.86,450,0.005232558139534884,523.2558139534884,9350,8900
1e-05,1,86000,0.86,488,0.005674418604651163,567.4418604651163,9028,8540
1e-05,2,86000,0.86,475,0.005523255813953488,552.3255813953489,8914,8439
1e-05,3,86000,0.86,407,0.004732558139534884,473.25581395348837,8307,7900
0.0001,0,86000,0.86,4148,0.048232558139534885,4823.2558139534885,6497,2349
0.0001,1,86000,0.86,4241,0.04931395348837209,4931.395348837209,7278,3037
0.0001,2,86000,0.86,4191,0.048732558139534886,4873.2558139534885,7004,2813
0.0001,3,86000,0.86,3993,0.046430232558139536,4643.023255813953,6646,2653
