target_width,actual_width,delta_gamma,seed,gamma_center,rate
0.02,0.01999999999999999,1e-06,0,0.15000000000000002,600.0000000000003
0.02,0.020000000000000018,1e-06,0,0.17,699.9999999999994
0.02,0.01999999999999999,1e-06,0,0.19,850.0000000000005
0.02,0.020000000000000018,1e-06,0,0.21000000000000002,599.9999999999994
0.02,0.01999999999999999,1e-06,0,0.23000000000000004,850.0000000000005
0.02,0.01999999999999999,1e-06,0,0.25,650.0000000000003
0.02,0.020000000000000018,1e-06,0,0.27,599.9999999999994
0.02,0.020000000000000018,1e-06,0,0.29000000000000004,649.9999999999994
0.02,0.019999999999999962,1e-06,0,0.31000000000000005,650.0000000000013
0.02,0.020000000000000018,1e-06,0,0.33,649.9999999999994
0.02,0.019999999999999962,1e-06,0,0.35,800.0000000000015
0.02,0.020000000000000018,1e-06,0,0.37,549.9999999999995
0.02,0.020000000000000018,1e-06,0,0.39,649.9999999999994
0.02,0.020000000000000018,1e-06,0,0.41000000000000003,499.99999999999955
0.02,0.019999999999999962,1e-06,0,0.43000000000000005,350.0000000000007
0.02,0.020000000000000018,1e-06,0,0.45,249.99999999999977
0.02,0.020000000000000018,1e-06,0,0.47000000000000003,149.99999999999986
0.02,0.019999999999999962,1e-06,0,0.49,150.00000000000028
0.02,0.020000000000000018,1e-06,0,0.51,349.9999999999997
0.02,0.020000000000000018,1e-06,0,0.53,549.9999999999995
0.02,0.020000000000000018,1e-06,0,0.55,549.9999999999995
0.02,0.020000000000000018,1e-06,0,0.5700000000000001,849.9999999999992
0.02,0.020000000000000018,1e-06,0,0.5900000000000001,849.9999999999992
0.02,0.019999999999999907,1e-06,0,0.6100000000000001,800.0000000000038
0.02,0.020000000000000018,1e-06,0,0.63,549.9999999999995
0.02,0.020000000000000018,1e-06,0,0.65,649.9999999999994
0.02,0.020000000000000018,1e-06,0,0.67,549.9999999999995
0.02,0.020000000000000018,1e-06,0,0.6900000000000001,499.99999999999955
0.02,0.019999999999999907,1e-06,0,0.71,600.0000000000028
0.02,0.020000000000000018,1e-06,0,0.73,399.99999999999966
0.02,0.020000000000000018,1e-06,0,0.75,799.9999999999993
0.02,0.020000000000000018,1e-06,0,0.77,599.9999999999994
0.02,0.020000000000000018,1e-06,0,0.79,499.99999999999955
0.02,0.020000000000000018,1e-06,0,0.81,499.99999999999955
0.02,0.020000000000000018,1e-06,0,0.8300000000000001,749.9999999999993
0.02,0.019999999999999907,1e-06,0,0.8500000000000001,550.0000000000026
0.02,0.020000000000000018,1e-06,0,0.87,699.9999999999994
0.02,0.020000000000000018,1e-06,0,0.89,1149.999999999999
0.02,0.020000000000000018,1e-06,0,0.91,699.9999999999994
0.02,0.020000000000000018,1e-06,0,0.93,449.9999999999996
0.02,0.020000000000000018,1e-06,0,0.9500000000000001,449.9999999999996
0.02,0.019999999999999907,1e-06,0,0.97,600.0000000000028
0.02,0.020000000000000018,1e-06,0,0.99,899.9999999999992
0.02,0.01999999999999999,1e-06,1,0.15000000000000002,650.0000000000003
0.02,0.020000000000000018,1e-06,1,0.17,699.9999999999994
0.02,0.01999999999999999,1e-06,1,0.19,700.0000000000003
0.02,0.020000000000000018,1e-06,1,0.21000000000000002,449.9999999999996
0.02,0.01999999999999999,1e-06,1,0.23000000000000004,550.0000000000002
0.02,0.01999999999999999,1e-06,1,0.25,250.0000000000001
0.02,0.020000000000000018,1e-06,1,0.27,699.9999999999994
0.02,0.020000000000000018,1e-06,1,0.29000000000000004,399.99999999999966
0.02,0.019999999999999962,1e-06,1,0.31000000000000005,700.0000000000014
0.02,0.020000000000000018,1e-06,1,0.33,549.9999999999995
0.02,0.019999999999999962,1e-06,1,0.35,600.0000000000011
0.02,0.020000000000000018,1e-06,1,0.37,449.9999999999996
0.02,0.020000000000000018,1e-06,1,0.39,599.9999999999994
0.02,0.020000000000000018,1e-06,1,0.41000000000000003,449.9999999999996
0.02,0.019999999999999962,1e-06,1,0.43000000000000005,650.0000000000013
0.02,0.020000000000000018,1e-06,1,0.45,349.9999999999997
0.02,0.020000000000000018,1e-06,1,0.47000000000000003,549.9999999999995
0.02,0.019999999999999962,1e-06,1,0.49,450.00000000000085
0.02,0.020000000000000018,1e-06,1,0.51,349.9999999999997
0.02,0.020000000000000018,1e-06,1,0.53,499.99999999999955
0.02,0.020000000000000018,1e-06,1,0.55,599.9999999999994
0.02,0.020000000000000018,1e-06,1,0.5700000000000001,499.99999999999955
0.02,0.020000000000000018,1e-06,1,0.5900000000000001,649.9999999999994
0.02,0.019999999999999907,1e-06,1,0.6100000000000001,650.0000000000031
0.02,0.020000000000000018,1e-06,1,0.63,599.9999999999994
0.02,0.020000000000000018,1e-06,1,0.65,799.9999999999993
0.02,0.020000000000000018,1e-06,1,0.67,649.9999999999994
0.02,0.020000000000000018,1e-06,1,0.6900000000000001,549.9999999999995
0.02,0.019999999999999907,1e-06,1,0.71,500.00000000000233
0.02,0.020000000000000018,1e-06,1,0.73,449.9999999999996
0.02,0.020000000000000018,1e-06,1,0.75,249.99999999999977
0.02,0.020000000000000018,1e-06,1,0.77,349.9999999999997
0.02,0.020000000000000018,1e-06,1,0.79,549.9999999999995
0.02,0.020000000000000018,1e-06,1,0.81,599.9999999999994
0.02,0.020000000000000018,1e-06,1,0.8300000000000001,699.9999999999994
0.02,0.019999999999999907,1e-06,1,0.8500000000000001,450.0000000000021
0.02,0.020000000000000018,1e-06,1,0.87,699.9999999999994
0.02,0.020000000000000018,1e-06,1,0.89,499.99999999999955
0.02,0.020000000000000018,1e-06,1,0.91,699.9999999999994
0.02,0.020000000000000018,1e-06,1,0.93,799.9999999999993
0.02,0.020000000000000018,1e-06,1,0.9500000000000001,499.99999999999955
0.02,0.019999999999999907,1e-06,1,0.97,450.0000000000021
0.02,0.020000000000000018,1e-06,1,0.99,949.9999999999992
0.02,0.01999999999999999,1e-06,2,0.15000000000000002,550.0000000000002
0.02,0.020000000000000018,1e-06,2,0.17,749.9999999999993
0.02,0.01999999999999999,1e-06,2,0.19,650.0000000000003
0.02,0.020000000000000018,1e-06,2,0.21000000000000002,499.99999999999955
0.02,0.01999999999999999,1e-06,2,0.23000000000000004,500.0000000000002
0.02,0.01999999999999999,1e-06,2,0.25,650.0000000000003
0.02,0.020000000000000018,1e-06,2,0.27,599.9999999999994
0.02,0.020000000000000018,1e-06,2,0.29000000000000004,499.99999999999955
0.02,0.019999999999999962,1e-06,2,0.31000000000000005,650.0000000000013
0.02,0.020000000000000018,1e-06,2,0.33,449.9999999999996
0.02,0.019999999999999962,1e-06,2,0.35,650.0000000000013
0.02,0.020000000000000018,1e-06,2,0.37,549.9999999999995
0.02,0.020000000000000018,1e-06,2,0.39,599.9999999999994
0.02,0.020000000000000018,1e-06,2,0.41000000000000003,749.9999999999993
0.02,0.019999999999999962,1e-06,2,0.43000000000000005,300.00000000000057
0.02,0.020000000000000018,1e-06,2,0.45,549.9999999999995
0.02,0.020000000000000018,1e-06,2,0.47000000000000003,399.99999999999966
0.02,0.019999999999999962,1e-06,2,0.49,350.0000000000007
0.02,0.020000000000000018,1e-06,2,0.51,399.99999999999966
0.02,0.020000000000000018,1e-06,2,0.53,599.9999999999994
0.02,0.020000000000000018,1e-06,2,0.55,599.9999999999994
0.02,0.020000000000000018,1e-06,2,0.5700000000000001,449.9999999999996
0.02,0.020000000000000018,1e-06,2,0.5900000000000001,799.9999999999993
0.02,0.019999999999999907,1e-06,2,0.6100000000000001,900.0000000000042
0.02,0.020000000000000018,1e-06,2,0.63,599.9999999999994
0.02,0.020000000000000018,1e-06,2,0.65,549.9999999999995
0.02,0.020000000000000018,1e-06,2,0.67,649.9999999999994
0.02,0.020000000000000018,1e-06,2,0.6900000000000001,399.99999999999966
0.02,0.019999999999999907,1e-06,2,0.71,450.0000000000021
0.02,0.020000000000000018,1e-06,2,0.73,649.9999999999994
0.02,0.020000000000000018,1e-06,2,0.75,549.9999999999995
0.02,0.020000000000000018,1e-06,2,0.77,649.9999999999994
0.02,0.020000000000000018,1e-06,2,0.79,799.9999999999993
0.02,0.020000000000000018,1e-06,2,0.81,599.9999999999994
0.02,0.020000000000000018,1e-06,2,0.8300000000000001,799.9999999999993
0.02,0.019999999999999907,1e-06,2,0.8500000000000001,650.0000000000031
0.02,0.020000000000000018,1e-06,2,0.87,599.9999999999994
0.02,0.020000000000000018,1e-06,2,0.89,549.9999999999995
0.02,0.020000000000000018,1e-06,2,0.91,599.9999999999994
0.02,0.020000000000000018,1e-06,2,0.93,549.9999999999995
0.02,0.020000000000000018,1e-06,2,0.9500000000000001,599.9999999999994
0.02,0.019999999999999907,1e-06,2,0.97,600.0000000000028
0.02,0.020000000000000018,1e-06,2,0.99,549.9999999999995
0.02,0.01999999999999999,1e-06,3,0.15000000000000002,600.0000000000003
0.02,0.020000000000000018,1e-06,3,0.17,499.99999999999955
