setting,seed,post_yield,category,category_label,count,q10,median,q90
1e-06,0,False,no_m3,no $m_3$ change (elastic candidate),387830,0.0962930135079,0.206556470555,0.356414375356
1e-06,0,False,closing_m3,"closing, $m_3$ change",3214,0.116088741569,0.19499044103000002,0.265656441214
1e-06,0,False,nonclosing_m3,"non-closing, $m_3$ change",215,0.105584713568,0.19418041885,0.28471457501
1e-06,0,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-06,0,True,no_m3,no $m_3$ change (elastic candidate),461952,0.20148071019299998,0.27893147937,0.4484245169060001
1e-06,0,True,closing_m3,"closing, $m_3$ change",6483,0.20563173811000002,0.25996009379,0.34198365256600005
1e-06,0,True,nonclosing_m3,"non-closing, $m_3$ change",306,0.19985219394499998,0.27654204339,0.40450468514
1e-06,0,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-06,1,False,no_m3,no $m_3$ change (elastic candidate),435692,0.104447554666,0.227191137265,0.399496435919
1e-06,1,False,closing_m3,"closing, $m_3$ change",4054,0.125665762617,0.21360233682000002,0.29252584239100005
1e-06,1,False,nonclosing_m3,"non-closing, $m_3$ change",233,0.107191262764,0.20478415067,0.30146533148000004
1e-06,1,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-06,1,True,no_m3,no $m_3$ change (elastic candidate),413855,0.179806994,0.25660820669,0.5183902625440003
1e-06,1,True,closing_m3,"closing, $m_3$ change",5918,0.175300263353,0.212402017565,0.31476580892100003
1e-06,1,True,nonclosing_m3,"non-closing, $m_3$ change",248,0.185973601242,0.241363041315,0.42100033278200005
1e-06,1,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-06,2,False,no_m3,no $m_3$ change (elastic candidate),400209,0.118285828302,0.22709356288,0.37539736602199997
1e-06,2,False,closing_m3,"closing, $m_3$ change",3414,0.130827782056,0.205505438785,0.275443331906
1e-06,2,False,nonclosing_m3,"non-closing, $m_3$ change",220,0.10614268063700001,0.21369475727499998,0.30383637409
1e-06,2,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-06,2,True,no_m3,no $m_3$ change (elastic candidate),449887,0.19402839360200003,0.26671182089,0.44348330285600013
1e-06,2,True,closing_m3,"closing, $m_3$ change",5988,0.202324482497,0.251185497925,0.336162096316
1e-06,2,True,nonclosing_m3,"non-closing, $m_3$ change",282,0.19349459211,0.263817306125,0.382671080724
1e-06,2,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-06,3,False,no_m3,no $m_3$ change (elastic candidate),446217,0.105759986062,0.21826783538,0.33561065333800005
1e-06,3,False,closing_m3,"closing, $m_3$ change",4239,0.13299535866599999,0.22446170763,0.29099149822600007
1e-06,3,False,nonclosing_m3,"non-closing, $m_3$ change",263,0.099263560368,0.21764248867,0.3006287920380001
1e-06,3,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-06,3,True,no_m3,no $m_3$ change (elastic candidate),403516,0.14400646146,0.23404327527500002,0.445616358395
1e-06,3,True,closing_m3,"closing, $m_3$ change",5540,0.0204260539331,0.20942489536499997,0.30000928253200004
1e-06,3,True,nonclosing_m3,"non-closing, $m_3$ change",225,0.05067685788840003,0.23797322906,0.35333600468199994
1e-06,3,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
5e-06,0,False,no_m3,no $m_3$ change (elastic candidate),85678,0.08618904708410001,0.23134567702,0.36593824789800006
5e-06,0,False,closing_m3,"closing, $m_3$ change",3894,0.0842667364366,0.21374002919,0.32212775948
5e-06,0,False,nonclosing_m3,"non-closing, $m_3$ change",249,0.0796462435702,0.22060834894,0.353715060974
5e-06,0,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
5e-06,0,True,no_m3,no $m_3$ change (elastic candidate),76145,0.1877651578,0.34513755824,0.598081506816
5e-06,0,True,closing_m3,"closing, $m_3$ change",5782,0.157354728538,0.25106150994,0.33827939811600016
5e-06,0,True,nonclosing_m3,"non-closing, $m_3$ change",252,0.190078961653,0.29564483072500003,0.518513822294
5e-06,0,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
5e-06,1,False,no_m3,no $m_3$ change (elastic candidate),79841,0.10043194577,0.24659504318,0.40568966842
5e-06,1,False,closing_m3,"closing, $m_3$ change",3274,0.08526402162590001,0.21118948061,0.35466206623100005
5e-06,1,False,nonclosing_m3,"non-closing, $m_3$ change",209,0.0877966239632,0.23536820283,0.384867197804
5e-06,1,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
5e-06,1,True,no_m3,no $m_3$ change (elastic candidate),81943,0.289685596476,0.5291572998,0.6300188972199999
5e-06,1,True,closing_m3,"closing, $m_3$ change",6433,0.226495830946,0.35501701784,0.50621795539
5e-06,1,True,nonclosing_m3,"non-closing, $m_3$ change",300,0.249880523533,0.43534410644,0.597753918613
5e-06,1,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
5e-06,2,False,no_m3,no $m_3$ change (elastic candidate),85308,0.09573983274680001,0.229910931185,0.34824194124700003
5e-06,2,False,closing_m3,"closing, $m_3$ change",3721,0.088147366375,0.20367534068,0.29726690742
5e-06,2,False,nonclosing_m3,"non-closing, $m_3$ change",221,0.078874857231,0.21464745871,0.31786320313
5e-06,2,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
5e-06,2,True,no_m3,no $m_3$ change (elastic candidate),77436,0.16490328698,0.365711326645,0.577761312055
5e-06,2,True,closing_m3,"closing, $m_3$ change",5064,0.158346250302,0.29112461058,0.393247291514
5e-06,2,True,nonclosing_m3,"non-closing, $m_3$ change",250,0.148047003365,0.31566397032000004,0.458138974069
5e-06,2,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
5e-06,3,False,no_m3,no $m_3$ change (elastic candidate),86205,0.08906711861339998,0.22124570168,0.367301161002
5e-06,3,False,closing_m3,"closing, $m_3$ change",3889,0.081706009832,0.18719637118,0.30354970551000005
5e-06,3,False,nonclosing_m3,"non-closing, $m_3$ change",247,0.0776024635566,0.20173709511,0.33863423619000005
5e-06,3,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
5e-06,3,True,no_m3,no $m_3$ change (elastic candidate),76303,0.19400148105999998,0.40498209478,0.602681932544
5e-06,3,True,closing_m3,"closing, $m_3$ change",5121,0.14384875629,0.2594687441,0.37298435695
5e-06,3,True,nonclosing_m3,"non-closing, $m_3$ change",235,0.162921397858,0.30572038642,0.50547661286
5e-06,3,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-05,0,False,no_m3,no $m_3$ change (elastic candidate),39074,0.0955511474588,0.24665798077,0.38168135703300005
1e-05,0,False,closing_m3,"closing, $m_3$ change",3069,0.0805869182738,0.21957377636,0.356687005092
