setting,seed,post_yield,category,category_label,count,q10,median,q90
1e-07,0,False,no_m3,no $m_3$ change (elastic candidate),37761,0.095383415973,0.23087087272,0.35876684067
1e-07,0,False,closing_m3,"closing, $m_3$ change",3510,0.0836012278878,0.22704924369,0.351921801311
1e-07,0,False,nonclosing_m3,"non-closing, $m_3$ change",236,0.088703838184,0.21049880549,0.36169177331
1e-07,0,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-07,0,True,no_m3,no $m_3$ change (elastic candidate),37994,0.216381206277,0.423906464355,0.5687521219330002
1e-07,0,True,closing_m3,"closing, $m_3$ change",6198,0.19686574819400002,0.418191221955,0.568479648759
1e-07,0,True,nonclosing_m3,"non-closing, $m_3$ change",301,0.15996016681,0.41285773335,0.57531043545
1e-07,0,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-07,1,False,no_m3,no $m_3$ change (elastic candidate),38957,0.0959942569476,0.29196749647,0.42782624274200004
1e-07,1,False,closing_m3,"closing, $m_3$ change",3174,0.0827656628125,0.26808921793999996,0.41737921180700016
1e-07,1,False,nonclosing_m3,"non-closing, $m_3$ change",235,0.0977555976746,0.28727809946,0.42459143367400004
1e-07,1,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-07,1,True,no_m3,no $m_3$ change (elastic candidate),38213,0.248954868646,0.46851497307,0.5947925953459999
1e-07,1,True,closing_m3,"closing, $m_3$ change",5133,0.22004680923800002,0.46570929809,0.580269210096
1e-07,1,True,nonclosing_m3,"non-closing, $m_3$ change",288,0.158246380234,0.47363830073,0.588169928278
1e-07,1,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-07,2,False,no_m3,no $m_3$ change (elastic candidate),41515,0.0944532112792,0.21576712442,0.32895465364
1e-07,2,False,closing_m3,"closing, $m_3$ change",3276,0.083228302159,0.209852230455,0.322689131255
1e-07,2,False,nonclosing_m3,"non-closing, $m_3$ change",214,0.0819896248476,0.20884538653,0.3090082837840001
1e-07,2,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-07,2,True,no_m3,no $m_3$ change (elastic candidate),35549,0.185849394896,0.37914135503,0.468323083166
1e-07,2,True,closing_m3,"closing, $m_3$ change",5212,0.175342338516,0.35793148867,0.4494282066300001
