delta_gamma,drop_type,simpleDrop_delta_E_min_over_V0,D_at_simpleDrop,global_delta_E_min_over_V0,D_at_global_min,event_count,loglog_slope
0.0001,delta_E_S,1.1863440571687533e-06,0.04082256262202788,1.1495630692359647e-06,0.03926607769168511,70,1.4506568859672297
5e-05,delta_E_S,0.00010855552234114043,0.051996068727519384,3.914307422162019e-07,0.048413595890165806,88,1.4506568859672297
1e-05,delta_E_S,4.314081127972713e-07,0.05314415359015079,3.7407871074454493e-07,0.0518592965883774,139,1.4506568859672297
5e-06,delta_E_S,1.4910297368828652e-07,0.07297826730406365,2.373217353124346e-09,0.06869710081314295,132,1.4506568859672297
1e-06,delta_E_S,1.3376922663610457e-08,0.04246977058081647,1.3376922663610457e-08,0.04246977058081647,128,1.4506568859672297
0.0001,delta_E_I,4.606982409e-05,0.07628048137177923,9.281561331884255e-07,0.053363353567182435,41,1.7347821063313287
5e-05,delta_E_I,0.00010161698494,0.050901679151845625,9.442888604749075e-05,0.04866216145638824,59,1.7347821063313287
1e-05,delta_E_I,1.0001009758e-05,0.07936052473182265,3.6750838922e-08,0.06837973381792395,79,1.7347821063313287
5e-06,delta_E_I,1.2475081724e-08,0.05975441884562516,5.811593263919141e-08,0.05945214749654526,77,1.7347821063313287
1e-06,delta_E_I,1.1845684790999999e-07,0.05098413987993333,1.1845684790999999e-07,0.05098413987993333,88,1.7347821063313287
0.0001,delta_E_R,4.9930101937e-09,0.07519092422693624,1.5772012147592981e-07,0.03409014315897532,123,1.4054587951801294
5e-05,delta_E_R,1.9178773528e-09,0.07722949174047539,0.0001006911691489987,0.04930738541547941,146,1.4054587951801294
1e-05,delta_E_R,9.3855373962e-11,0.04631333469904475,9.3855373962e-11,0.04631333469904475,177,1.4054587951801294
5e-06,delta_E_R,2.4501440521e-11,0.06793545556901966,4.83699906753228e-09,0.05520182004088443,188,1.4054587951801294
1e-06,delta_E_R,1.2157528317e-11,0.07104020688163598,6.3378698724e-08,0.04620133292395101,180,1.4054587951801294
