delta_gamma,drop_type,simpleDrop_delta_E_min_over_V0,D_at_simpleDrop,global_delta_E_min_over_V0,D_at_global_min,positive_drop_count,loglog_slope,positive_drop_count_seed0,positive_drop_count_seed1,positive_drop_count_seed2,positive_drop_count_seed3
0.0001,delta_E_S,1.0755983360742511e-05,0.036319471064487074,0.00022671644679760956,0.02788375153854661,3236,0.801612141038709,437,698,725,1376
5e-05,delta_E_S,2.1389205975470385e-06,0.019257689307951575,2.1389205975470385e-06,0.019257689307951575,8254,0.801612141038709,349,2098,1486,4321
1e-05,delta_E_S,4.305935732581517e-07,0.013992773993446894,4.305935732581517e-07,0.013992773993446894,94618,0.801612141038709,7020,6665,45798,35135
5e-06,delta_E_S,1.2782691629067346e-06,0.026205555323446678,8.217545268029999e-06,0.024338325120919713,139601,0.801612141038709,7145,77217,28316,26923
1e-06,delta_E_S,1.4682547468251675e-07,0.039410987120444,1.4516310826518586e-05,0.027341636637166267,689040,0.801612141038709,231272,59782,335501,62485
0.0001,delta_E_I,7.0939027352704375e-06,0.04901461123740003,0.00022135739935889888,0.029591285798938438,441,-0.4247355328369772,100,127,106,108
5e-05,delta_E_I,1.4637587101523968e-07,0.04762286389922965,1.842636581866703e-05,0.029921981182258306,538,-0.4247355328369772,151,140,114,133
1e-05,delta_E_I,2.095406181476169e-06,0.019917735964005145,3.514180298839351e-06,0.019419230457722758,710,-0.4247355328369772,197,180,195,138
5e-06,delta_E_I,8.402922575782461e-07,0.037522026876655956,7.728816454336958e-06,0.02360411030484444,762,-0.4247355328369772,191,217,181,173
1e-06,delta_E_I,1.785871854105609e-05,0.028832540438991194,1.785871854105609e-05,0.028832540438991194,897,-0.4247355328369772,252,204,247,194
0.0001,delta_E_R,6.921494665117599e-09,0.03431842809271285,0.0002371320630563935,0.027555792037606996,15547,1.892485186041948,4172,4082,3869,3424
5e-05,delta_E_R,2.2565268658988184e-09,0.029110202778628275,1.1396954488508728e-06,0.01909438753391529,33263,1.892485186041948,8579,8916,7930,7838
1e-05,delta_E_R,1.695598712137058e-10,0.037900826938384036,4.3666903090830793e-07,0.013640695790935409,167612,1.892485186041948,42637,44042,45798,35135
5e-06,delta_E_R,4.7598052703019596e-11,0.05006612165618883,4.7732402892231595e-06,0.024099983159927507,327260,1.892485186041948,80178,86675,80749,79658
1e-06,delta_E_R,9.47185843502226e-13,0.046634374328443584,1.607154529317099e-05,0.028449171866584688,1714184,1.892485186041948,458737,410017,446153,399277
