load_step,load,total_energy,total_energy_change,total_init_energy,total_e_change_from_init,avg_energy,avg_energy_change,avg_init_energy,avg_e_change_from_init,min_iter_total_energy_change,min_iter_avg_energy_change,max_energy,max_force,avg_sigmaxy,avg_init_sigmaxy,avg_sigmaxy_change_from_init,avg_Pxy,nr_plastic_deformations,nr_red_q1,nr_red_q2,nr_red_q3,nr_red_q4,nr_red_q1_fixed,nr_red_q2_fixed,nr_red_q3_fixed,nr_red_q4_fixed,max_m3_nr,max_positive_plastic_jump,max_negative_plastic_jump,nr_iterations,nr_func_evals,LBFGS_Term_reason,CG_Term_reason,FIRE_Term_reason,run_time,minimization_time,write_time,est_time_remaining,cmX,cmY,maxX,minX,maxY,minY
1,0.15,483.48174828,0,7450.0140306,-6966.5322823,0.0038678539863,0,0.059600112244,-0.055732258258,0,0,0.20848814204,3.2880670311e-06,2.1809273626e-06,0.00048936674508,-0.00048718581772,0.012003062099,18603,44593,41312,19717,19378,32061,30532,32249,30158,3,3,0,7330,12355,8,0,0,36m 27s,36m 27.401s,0.000s,0.000s,143.74998093,125.00005135,287.27562507,-0.22437493453,250.96176512,-0.8322050021
2,0.15001,483.48427794,0.0025296569202,483.48428759,-9.6502902807e-06,0.0038678742235,2.0237255361e-08,0.0038678743007,-7.7202322226e-11,0,0,0.20848369641,2.1496433221e-07,2.1421120396e-06,2.164147966e-06,-2.2035926464e-08,0.012012960198,1,44611,41294,19723,19372,32079,30518,32255,30148,3,3,0,1038,1954,2,0,0,42m 22s,42m 16.294s,5.562s,0.000s,143.75123093,125.00005135,287.27816093,-0.22433907127,250.96160863,-0.83209631194
3,0.15002,483.48681851,0.0025405698187,483.48682808,-9.5743545785e-06,0.0038678945481,2.032455855e-08,0.0038678946247,-7.6594836376e-11,0,0,0.20847969697,4.3413042618e-07,2.1023908746e-06,2.1253264006e-06,-2.2935525998e-08,0.012022909866,1,44620,41289,19724,19367,32084,30511,32260,30145,3,3,0,836,1578,2,0,0,47m 3s,46m 57.760s,5.562s,276d 23h 58m 36s,143.75248093,125.00005135,287.28070752,-0.22429247654,250.96145109,-0.83201988269
4,0.15003,483.48936999,0.0025514800212,483.48937956,-9.5694308584e-06,0.0038679149599,2.0411840169e-08,0.0038679150365,-7.6555446878e-11,0,0,0.20847558252,4.7496658952e-07,2.0618981916e-06,2.0855977076e-06,-2.3699515985e-08,0.012032856532,0,44640,41276,19727,19357,32099,30499,32268,30134,3,3,0,855,1654,2,0,0,52m 0s,51m 54.412s,5.562s,284d 11h 44m 59s,143.75373093,125.00005135,287.2832495,-0.22425049759,250.96129366,-0.83193743681
5,0.15004,483.49193239,0.0025623967834,483.49194194,-9.5572511896e-06,0.0038679354591,2.0499174268e-08,0.0038679355356,-7.6458009628e-11,0,0,0.20847151928,5.9123829891e-07,2.0201856189e-06,2.0450972689e-06,-2.4911649972e-08,0.012042820777,0,44651,41268,19730,19351,32104,30489,32277,30130,3,3,0,898,1744,2,0,0,57m 11s,57m 5.193s,5.562s,291d 14h 40m 22s,143.75498093,125.00005135,287.28579182,-0.224208178,250.96113966,-0.8318641119
6,0.15005,483.49450571,0.0025733207118,483.49451527,-9.5611368351e-06,0.0038679560457,2.0586565694e-08,0.0038679561221,-7.6489094572e-11,0,0,0.20846747176,2.049888745e-07,1.9787745717e-06,2.0033756241e-06,-2.4601052413e-08,0.012052788151,0,44672,41250,19732,19346,32115,30473,32289,30123,3,3,0,927,1771,2,0,0,1h 2m 28s,1h 2m 22.460s,5.562s,296d 18h 21m 2s,143.75623093,125.00005135,287.28833207,-0.22416793321,250.96098443,-0.83178870918
7,0.15006,483.49708996,0.0025842541419,483.49709952,-9.5593442779e-06,0.0038679767197,2.0674033136e-08,0.0038679767962,-7.6474754047e-11,0,0,0.20846357593,9.2217395933e-07,1.9363484973e-06,1.9619560241e-06,-2.5607526865e-08,0.012062742945,2,44683,41244,19730,19343,32122,30463,32291,30124,3,3,0,679,1345,2,0,0,1h 6m 20s,1h 6m 13.726s,5.562s,282d 22h 17m 19s,143.75748093,125.00005135,287.29087218,-0.2241278225,250.96082387,-0.83172152804
8,0.15007,483.49968514,0.002595180696,483.49969469,-9.5514943155e-06,0.0038679974811,2.0761445568e-08,0.0038679975576,-7.6411954455e-11,0,0,0.20845935694,2.4913103755e-07,1.8932548086e-06,1.919522614e-06,-2.6267805324e-08,0.012072729269,3,44700,41230,19730,19340,32126,30454,32304,30116,3,3,-1,938,1819,2,0,0,1h 11m 43s,1h 11m 37.343s,5.562s,288d 20h 23m 13s,143.75873093,125.00005135,287.29340914,-0.22409086355,250.96067624,-0.83164357851
9,0.15008,483.50229127,0.0026061242863,483.50230083,-9.5642732276e-06,0.0038680183301,2.0848994291e-08,0.0038680184066,-7.6514186046e-11,0,0,0.20845526621,6.6474397939e-07,1.8487220385e-06,1.8764232163e-06,-2.770117779e-08,0.012082695419,1,44705,41223,19741,19331,32133,30449,32313,30105,3,3,-1,908,1746,2,0,0,1h 16m 56s,1h 16m 49.541s,5.562s,291d 11h 15m 59s,143.75998093,125.00005135,287.29594498,-0.22405502374,250.96052208,-0.83156987522
10,0.15009,483.50490834,0.0026170691797,483.50491789,-9.5531926831e-06,0.0038680392667,2.0936553438e-08,0.0038680393431,-7.6425541676e-11,0,0,0.20845129035,7.9499619587e-07,1.8031848628e-06,1.8318859958e-06,-2.8701133018e-08,0.012092658918,0,44721,41209,19744,19326,32144,30442,32321,30093,3,3,-1,773,1493,2,0,0,1h 21m 21s,1h 21m 15.017s,5.562s,287d 16h 35m 10s,143.76123093,125.00005135,287.29848003,-0.22401996866,250.96036543,-0.83150157831
