load_step,load,total_energy,total_energy_change,total_init_energy,total_e_change_from_init,avg_energy,avg_energy_change,avg_init_energy,avg_e_change_from_init,min_iter_total_energy_change,min_iter_avg_energy_change,max_energy,max_force,avg_sigma11,avg_sigma12,avg_sigma22,avg_init_sigma11,avg_init_sigma12,avg_init_sigma22,avg_sigma12_change_from_init,avg_P11,avg_P12,avg_P21,avg_P22,avg_init_P11,avg_init_P12,avg_init_P21,avg_init_P22,participationFraction,m3_participationFraction,nr_elements_with_m3_fix_change,nr_red_q1,nr_red_q2,nr_red_q3,nr_red_q4,nr_red_q1_fixed,nr_red_q2_fixed,nr_red_q3_fixed,nr_red_q4_fixed,max_m3_nr,sum_m3,max_positive_plastic_jump,max_negative_plastic_jump,nr_iterations,nr_func_evals,nr_edge_flips,LBFGS_Term_reason,CG_Term_reason,FIRE_Term_reason,run_time,minimization_time,write_time,est_time_remaining,cmX,cmY,maxX,minX,maxY,minY
1,0.15,461.39557627,0,7482.7504268,-7021.3548505,0.0036911646102,0,0.059862003414,-0.056170838804,0,0,0.19416242757,1.7548520473e-06,0,9.3832882906e-05,0,0,-1.2333666335e-05,0,0.00010616654924,0,0.010810304749,0,0,0,0,0,0,0,0,18666,40427,46316,17800,20457,28993,33490,29234,33283,3,0,3,0,5928,10593,0,8,0,0,1h 4m 42s,1h 4m 42.033s,0.000s,0.000s,143.75012887,124.99985137,287.40098592,-0.099014077407,250.8206502,-1.0035568102
2,0.15001,461.39519288,-0.00038339421116,461.39520178,-8.9004561232e-06,0.003691161543,-3.0671536894e-09,0.0036911616142,-7.120364888e-11,0,0,0.19416813952,1.5416991093e-06,0,9.3873700396e-05,0,0,9.3798831166e-05,0,7.4869230523e-08,0,0.01082161553,0,0,0,0,0,0,0,0,1,40436,46312,17801,20451,28994,33486,29243,33277,3,0,3,0,709,1175,0,2,0,0,1h 11m 47s,1h 11m 41.358s,5.995s,0.000s,143.75137887,124.99985137,287.40353027,-0.098969734129,250.82072399,-1.0035315656
3,0.15002,461.39482195,-0.00037092682777,461.39483086,-8.9081770511e-06,0.0036911585756,-2.9674146222e-09,0.0036911586469,-7.1265416311e-11,0,0,0.19417407112,3.5466913739e-07,0,9.3910726173e-05,0,0,9.3839666413e-05,0,7.1059760411e-08,0,0.010832927604,0,0,0,0,0,0,0,0,2,40449,46301,17801,20449,29001,33481,29249,33269,3,0,3,0,791,1275,0,2,0,0,1h 19m 27s,1h 19m 21.012s,5.995s,452d 10h 49m 30s,143.75262887,124.99985137,287.40606327,-0.098936727945,250.82079125,-1.0035131067
4,0.15003,461.39446349,-0.00035846262563,461.39447241,-8.9193741246e-06,0.0036911557079,-2.867701005e-09,0.0036911557793,-7.1354993095e-11,0,0,0.19417992237,3.8553231937e-07,0,9.3946781108e-05,0,0,9.3876711383e-05,0,7.0069724707e-08,0,0.010844233753,0,0,0,0,0,0,0,0,2,40466,46289,17801,20444,29012,33471,29255,33262,3,0,3,0,811,1532,0,2,0,0,1h 28m 47s,1h 28m 40.991s,5.995s,501d 18h 36m 39s,143.75387887,124.99985137,287.40860026,-0.098899741186,250.82085889,-1.0034909823
5,0.15004,461.39411749,-0.0003460012129,461.39412642,-8.9285900344e-06,0.0036911529399,-2.768009703e-09,0.0036911530113,-7.1428720144e-11,0,0,0.19418575242,1.1393802134e-06,0,9.3983508635e-05,0,0,9.3912785354e-05,0,7.0723281333e-08,0,0.010855540196,0,0,0,0,0,0,0,0,0,40480,46274,17802,20444,29023,33463,29259,33255,3,0,3,0,761,1448,0,2,0,0,1h 36m 56s,1h 36m 49.478s,5.995s,494d 18h 24m 48s,143.75512886,124.99985137,287.41113494,-0.098865064193,250.8209297,-1.0034713791
6,0.15005,461.39378395,-0.00033353980717,461.39379289,-8.9377329573e-06,0.0036911502716,-2.6683184577e-09,0.0036911503431,-7.1501863892e-11,0,0,0.1941912787,1.5458177774e-06,0,9.4019175449e-05,0,0,9.3949532864e-05,0,6.9642584275e-08,0,0.010866828166,0,0,0,0,0,0,0,0,1,40499,46261,17801,20439,29034,33450,29266,33250,3,0,3,0,691,1153,0,2,0,0,1h 44m 0s,1h 43m 53.333s,5.995s,475d 8h 42m 27s,143.75637886,124.99985137,287.41367342,-0.098826580256,250.82100403,-1.0034465811
7,0.15006,461.39346286,-0.00032108525215,461.39347179,-8.9323048087e-06,0.0036911477029,-2.5686820171e-09,0.0036911477744,-7.1458438559e-11,0,0,0.19419723786,5.8099904026e-07,0,9.4054090754e-05,0,0,9.3985219075e-05,0,6.887167911e-08,0,0.010878120772,0,0,0,0,0,0,0,0,3,40511,46256,17800,20433,29034,33447,29277,33242,3,0,3,0,871,1447,0,2,0,0,1h 53m 4s,1h 52m 57.067s,5.995s,487d 7h 28m 18s,143.75762886,124.99985137,287.4162048,-0.09879519522,250.82106724,-1.003428988
8,0.15007,461.39315424,-0.00030862615785,461.39316316,-8.9254324962e-06,0.0036911452339,-2.4690092627e-09,0.0036911453053,-7.1403459968e-11,0,0,0.19420306667,3.9227526099e-07,0,9.4089710521e-05,0,0,9.4020154626e-05,0,6.9555894152e-08,0,0.010889417739,0,0,0,0,0,0,0,0,0,40524,46250,17800,20426,29042,33438,29282,33238,3,0,3,0,832,1611,0,2,0,0,2h 2m 50s,2h 2m 42.627s,5.995s,502d 3h 15m 35s,143.75887886,124.99985137,287.41874027,-0.098759728348,250.8211359,-1.0034085989
9,0.15008,461.39285807,-0.00029617083737,461.392867,-8.9303173354e-06,0.0036911428645,-2.3693666989e-09,0.003691142936,-7.1442538517e-11,0,0,0.19420885951,3.4733697911e-07,0,9.4124148491e-05,0,0,9.4055795431e-05,0,6.8353059698e-08,0,0.010900704153,0,0,0,0,0,0,0,0,0,40543,46235,17808,20414,29054,33428,29297,33221,3,0,3,0,858,1634,0,2,0,0,2h 12m 20s,2h 12m 11.929s,5.995s,510d 10h 27m 24s,143.76012886,124.99985137,287.42127588,-0.098724123349,250.82120402,-1.0033870393
10,0.15009,461.39257435,-0.00028371724363,461.39258327,-8.924810686e-06,0.0036911405948,-2.2697379492e-09,0.0036911406662,-7.1398485648e-11,0,0,0.19421456153,1.2339544862e-06,0,9.4158549522e-05,0,0,9.4090255228e-05,0,6.8294293098e-08,0,0.010912000374,0,0,0,0,0,0,0,0,2,40558,46221,17809,20412,29062,33419,29305,33214,3,0,3,0,934,1772,0,2,0,0,2h 24m 5s,2h 22m 36.575s,1m 26.453s,533d 8h 36m 23s,143.76137886,124.99985137,287.42381103,-0.098688967725,250.82127491,-1.0033658427
