event_id,job_name,seed,reconnection_mode,epsilon_x,delta_gamma,load,yield_regime,rev_u_cut,delta_rev_u,reversibility_measured,forward_m3_changes,event_class,delta_E_inter_over_V0,delta_E_S_over_V0,participation_fraction,saved_event_directory
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.14068","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.14068,pre,0.06285727964184594,0.07831389138,False,140,reversibility_unmeasured,9.81608402488889e-06,9.826091376166662e-06,0.2233737288,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.14326","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.14326,pre,0.06285727964184594,0.10406342865,False,336,reversibility_unmeasured,0.00021104870811555553,0.0002110696602904366,0.27709530007,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.14683","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.14683,pre,0.06285727964184594,0.012430751874,False,28,reversibility_unmeasured,9.831798850666667e-07,1.0221788830689445e-06,0.27495273613,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.14806","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.14806,pre,0.06285727964184594,0.015999714084,False,49,reversibility_unmeasured,2.1659801475555555e-07,2.686473579248943e-07,0.13633809051,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.1482","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.1482,pre,0.06285727964184594,0.09580430618,False,175,reversibility_unmeasured,4.4837509e-05,4.4898673778041284e-05,0.02148401509,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.14848","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.14848,pre,0.06285727964184594,0.059495984975,False,144,reversibility_unmeasured,7.687146142222223e-05,7.692507765088218e-05,0.28878393218,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.14956","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.14956,pre,0.06285727964184594,0.14571127282,False,357,reversibility_unmeasured,6.0537290475555555e-05,6.060519880023397e-05,0.013756817708,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.15001","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.15001,pre,0.06285727964184594,0.081811466733,False,213,reversibility_unmeasured,2.962902418266667e-05,2.9681305340221165e-05,0.206974693,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.15402","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.15402,pre,0.06285727964184594,0.076948156465,False,189,reversibility_unmeasured,2.2540595256444448e-05,2.2599001144838996e-05,0.061858586702,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.1546","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.1546,pre,0.06285727964184594,0.11345808069,False,240,reversibility_unmeasured,8.508852402222223e-05,8.515133730235473e-05,0.18130337814,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.15726","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.15726,pre,0.06285727964184594,0.050532516174,False,46,reversibility_unmeasured,1.9265910728444444e-05,1.933100308471012e-05,0.071855071027,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.1573","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.1573,pre,0.06285727964184594,0.038432799084,False,95,reversibility_unmeasured,2.318833303111111e-05,2.3254293261363223e-05,0.16327222513,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.15869","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.15869,pre,0.06285727964184594,0.16901822122,True,409,irreversible_plastic,6.144815046222223e-05,6.152096180404669e-05,0.10067142945,"/Volumes/data/MTS2D_output/reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0/data/reversibilityData/irrev_drop_l_0.15868"
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.15938","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.15938,pre,0.06285727964184594,0.049846506621,False,70,reversibility_unmeasured,6.088964187111111e-06,6.1270157575993125e-06,0.22412898163,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.16003","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.16003,pre,0.06285727964184594,0.065950525877,False,239,reversibility_unmeasured,1.0150757460444445e-07,1.438038352868413e-07,0.10823815064,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.16292","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.16292,pre,0.06285727964184594,0.0031190127189,False,2,reversibility_unmeasured,8.818592352000001e-07,9.578520475378759e-07,0.23814464779,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.16364","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.16364,pre,0.06285727964184594,0.0061260188037,False,11,reversibility_unmeasured,-7.838012669777779e-08,4.922631099664917e-09,0.20023914992,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.16626","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.16626,pre,0.06285727964184594,0.1245766565,True,373,irreversible_plastic,5.666657182666667e-05,5.6770993563711475e-05,0.037755757918,"/Volumes/data/MTS2D_output/reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0/data/reversibilityData/irrev_drop_l_0.16625"
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.16657","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.16657,pre,0.06285727964184594,0.085620823037,False,226,reversibility_unmeasured,9.029030324888888e-05,9.040404394072539e-05,0.052561477231,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.16705","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.16705,pre,0.06285727964184594,0.024461042584,False,57,reversibility_unmeasured,4.515584294222222e-06,4.6366322003917855e-06,0.087834918876,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.16866","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.16866,pre,0.06285727964184594,0.037984154203,True,72,reversible_plastic,3.6407333784888887e-06,3.7806163385779556e-06,0.06526940883,"/Volumes/data/MTS2D_output/reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0/data/reversibilityData/irrev_drop_l_0.16865"
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.16869","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.16869,pre,0.06285727964184594,0.028194994459,False,59,reversibility_unmeasured,2.7101929713333332e-06,2.8428383554367226e-06,0.16986457081,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.17084","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.17084,pre,0.06285727964184594,0.01063665234,False,18,reversibility_unmeasured,1.2506531241777778e-06,1.4016502742063293e-06,0.19231042288,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.1722","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.1722,pre,0.06285727964184594,0.21852792082,False,228,reversibility_unmeasured,2.4637894882666665e-05,2.4801148730759654e-05,0.4340811725,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.17388","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.17388,pre,0.06285727964184594,0.060593618017,False,118,reversibility_unmeasured,4.624534643555556e-05,4.639345269051268e-05,0.078780737414,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.17457","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.17457,pre,0.06285727964184594,0.050641223184,False,137,reversibility_unmeasured,0.00010507224121333332,0.0001052152858713296,0.20663191298,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.17733","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.17733,pre,0.06285727964184594,0.18873894004,False,368,reversibility_unmeasured,0.00010262885499111112,0.00010281607103643182,0.32494584758,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.18016","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.18016,pre,0.06285727964184594,0.04847774591,False,66,reversibility_unmeasured,6.121597743555555e-06,6.289555607308254e-06,0.041572540379,
"reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0:0.18059","reversibilityProtocolTest,s150x150l0.14,1e-05,1.0PBCedgeFlipt4LBFGSEpsx1e-06energyDropThreshold1e-05s0",0,edgeFlip,,1.0000000000010001e-05,0.18059,pre,0.06285727964184594,0.02927467236,False,93,reversibility_unmeasured,9.116114574666668e-06,9.277859332193353e-06,0.1916570738,
