feature,feature_label,otsu_cut,otsu_closing_count,otsu_nonclosing_count,log10_gap_at_cut,benchmark_best_orientation,lower_balanced_accuracy,higher_balanced_accuracy,best_balanced_accuracy,lower_agreement_fraction,higher_agreement_fraction,best_agreement_fraction,status,setting,setting_attribute,sample_count,forward_only_pool_count,scorable_count,reference_reversible_count,reference_irreversible_count,discarded_island_count,unlabeled_forward_count
es_over_sigma_s2,Delta E_S/(V0 abs(Delta sigma_S)^2),621.0642963241778,502977,1715405,3.3670377850292255e-06,higher,0.1368587856669982,0.8631412143330017,0.8631412143330017,0.21134325833192352,0.7886567416680764,0.7886567416680764,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
sigma_s2_over_es,abs(Delta sigma_S)^2/(Delta E_S/V0),0.0016101392495408054,1715405,502977,3.3670377850292255e-06,lower,0.8631412143330017,0.1368587856669982,0.8631412143330017,0.7886567416680764,0.21134325833192352,0.7886567416680764,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
sigma_r_over_sigma_s,abs(Delta sigma_R)/abs(Delta sigma_S),0.4263862400341856,1813321,405061,2.0238902784242008e-06,lower,0.8520061883507707,0.1479938116492293,0.8520061883507707,0.7305870411097953,0.2694129588902047,0.7305870411097953,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
er_over_es,abs(Delta E_R)/Delta E_S,0.00021322012898569457,1595786,622596,1.918125407840421e-06,lower,0.8191038170754195,0.18089618292458048,0.8191038170754195,0.6680764676027745,0.3319235323972255,0.6680764676027745,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
er_over_ei,abs(Delta E_R)/abs(Delta E_I),1.1626954573322373e-05,1476097,742285,5.100251020628832e-06,lower,0.7970219435736677,0.2029780564263323,0.7970219435736677,0.6275587886990357,0.3724412113009643,0.6275587886990357,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
er_fraction,abs(Delta E_R)/(abs(Delta E_R)+abs(Delta E_I)),1.1595779215837225e-05,1474320,744062,2.552491269902646e-06,lower,0.7967222939332472,0.20327770606675272,0.7967222939332472,0.6270089663339536,0.37299103366604636,0.6270089663339536,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
sigma_r_over_sigma_i,abs(Delta sigma_R)/abs(Delta sigma_I),0.5296066685918861,1535932,682450,9.834935295049974e-07,lower,0.7764457811748986,0.22355421882510135,0.7764457811748986,0.5923701573337845,0.40762984266621555,0.5923701573337845,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
er_over_sigma_r2,abs(Delta E_R)/(V0 abs(Delta sigma_R)^2),1.57976818866075,1020383,1197999,1.154639636014032e-06,lower,0.7390596234768125,0.2609403765231875,0.7390596234768125,0.5729571984435797,0.4270428015564202,0.5729571984435797,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
sigma_r2_over_er,abs(Delta sigma_R)^2/(abs(Delta E_R)/V0),0.6330042642824395,1197999,1020383,1.1546396360695432e-06,higher,0.2609403765231875,0.7390596234768125,0.7390596234768125,0.4270428015564202,0.5729571984435797,0.5729571984435797,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
sigma_r_fraction,abs(Delta sigma_R)/(abs(Delta sigma_R)+abs(Delta sigma_I)),0.3092981660368253,1268670,949712,5.460679453062056e-07,lower,0.7168437483940593,0.28315625160594066,0.7168437483940593,0.482151920148875,0.517848079851125,0.482151920148875,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
sigma_r,abs(Delta sigma_R),6.954108293393844e-07,1186094,1032288,1.1557648980087265e-06,lower,0.7092885531570149,0.2907114468429851,0.7092885531570149,0.4674335983759093,0.5325664016240906,0.4674335983759093,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
