feature,feature_label,otsu_cut,otsu_closing_count,otsu_nonclosing_count,log10_gap_at_cut,benchmark_best_orientation,lower_balanced_accuracy,higher_balanced_accuracy,best_balanced_accuracy,lower_agreement_fraction,higher_agreement_fraction,best_agreement_fraction,status,setting,setting_attribute,sample_count,forward_only_pool_count,scorable_count,reference_reversible_count,reference_irreversible_count,discarded_island_count,unlabeled_forward_count
er_sigma_s,abs(Delta E_R) abs(Delta sigma_S)/V0,2.7744365981874733e-15,228443,4663,9.737308488411145e-07,lower,0.9889689830738606,0.011031016926139366,0.9889689830738606,0.9806815132814596,0.01931848671854038,0.9806815132814596,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
er_sigma_r,abs(Delta E_R) abs(Delta sigma_R)/V0,2.2973967576159594e-15,228443,4663,8.501580783537577e-05,lower,0.9863967176280956,0.01360328237190446,0.9863967176280956,0.9750916733744746,0.024908326625525445,0.9750916733744746,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
er,abs(Delta E_R)/V0,1.526348995542795e-10,228443,4663,1.0294608419059159e-05,lower,0.9862990279880819,0.013700972011918135,0.9862990279880819,0.974912798497451,0.025087201502548968,0.974912798497451,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
er_over_dg,abs(Delta E_R)/(V0 Delta gamma),1.5263489955427947e-05,228443,4663,1.0294608419059159e-05,lower,0.9862990279880819,0.013700972011918135,0.9862990279880819,0.974912798497451,0.025087201502548968,0.974912798497451,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
er_over_dg2,abs(Delta E_R)/(V0 Delta gamma^2),1.5263489955427945,228443,4663,1.0294608419059159e-05,lower,0.9862990279880819,0.013700972011918135,0.9862990279880819,0.974912798497451,0.025087201502548968,0.974912798497451,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
sigma_i,abs(Delta sigma_I),2.0083534999987224e-05,228443,4663,6.487321844161897e-07,lower,0.9845846627213464,0.015415337278653646,0.9845846627213464,0.9902513192022181,0.00974868079778195,0.9902513192022181,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
sigma_i_over_dg,abs(Delta sigma_I)/Delta gamma,2.0083534999987225,228443,4663,6.487321845827232e-07,lower,0.9845846627213464,0.015415337278653646,0.9845846627213464,0.9902513192022181,0.00974868079778195,0.9902513192022181,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
sigma_r,abs(Delta sigma_R),1.506268010106148e-05,228443,4663,1.3935200801284964e-05,lower,0.9802599956243936,0.019740004375606374,0.9802599956243936,0.9739737053930776,0.02602629460692246,0.9739737053930776,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
sigma_r_over_dg,abs(Delta sigma_R)/Delta gamma,1.5062680101061479,228443,4663,1.3935200800785363e-05,lower,0.9802599956243936,0.019740004375606374,0.9802599956243936,0.9739737053930776,0.02602629460692246,0.9739737053930776,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
sigma_r_over_sigma_s,abs(Delta sigma_R)/abs(Delta sigma_S),0.4561862806450806,204400,28706,4.31373321400641e-05,lower,0.9096799159382976,0.09032008406170251,0.9096799159382976,0.8420982023074859,0.15790179769251408,0.8420982023074859,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
er_over_ei,abs(Delta E_R)/abs(Delta E_I),0.00016743505397740814,187704,45402,5.2451231431493994e-05,lower,0.8919308357348703,0.10806916426512968,0.8919308357348703,0.8021196672927288,0.19788033270727126,0.8021196672927288,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
er_fraction,abs(Delta E_R)/(abs(Delta E_R)+abs(Delta E_I)),0.00016224283176472976,186807,46299,3.001306507988133e-05,lower,0.8900747325746104,0.10992526742538954,0.8900747325746104,0.7987210446292818,0.2012789553707182,0.7987210446292818,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
er_over_es,abs(Delta E_R)/Delta E_S,0.0013261364777155849,165158,67948,1.952408454553023e-05,lower,0.8411810677477654,0.15881893225223465,0.8411810677477654,0.7091941686790091,0.29080583132099097,0.7091941686790091,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
sigma_r_over_sigma_i,abs(Delta sigma_R)/abs(Delta sigma_I),0.5264778118349871,170501,62605,4.751409031333864e-06,lower,0.8201394484703568,0.17986055152964314,0.8201394484703568,0.6772650031303104,0.32273499686968965,0.6772650031303104,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
es_over_sigma_s2,Delta E_S/(V0 abs(Delta sigma_S)^2),106.02926847062653,75330,157776,3.612400650743197e-05,higher,0.23062205882235062,0.7693779411776493,0.7693779411776493,0.2920579554601556,0.7079420445398443,0.7079420445398443,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
sigma_s2_over_es,abs(Delta sigma_S)^2/(Delta E_S/V0),0.009431358099740467,157776,75330,3.612400650743197e-05,lower,0.7693779411776493,0.23062205882235062,0.7693779411776493,0.7079420445398443,0.2920579554601556,0.7079420445398443,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
er_over_sigma_r2,abs(Delta E_R)/(V0 abs(Delta sigma_R)^2),1.3363003523838106,102816,130290,4.545606527822654e-06,lower,0.7535234013102048,0.24647659868979524,0.7535234013102048,0.58608353456757,0.41391646543243,0.58608353456757,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
sigma_r2_over_er,abs(Delta sigma_R)^2/(abs(Delta E_R)/V0),0.7483347573890193,130290,102816,4.545606527822654e-06,higher,0.24647659868979524,0.7535234013102048,0.7535234013102048,0.41391646543243,0.58608353456757,0.58608353456757,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
sigma_r_fraction,abs(Delta sigma_R)/(abs(Delta sigma_R)+abs(Delta sigma_I)),0.31570650600256966,138506,94600,3.748121974567198e-06,lower,0.7433514352219041,0.25664856477809594,0.7433514352219041,0.5362221625972632,0.46377783740273676,0.5362221625972632,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
ei_over_es,abs(Delta E_I)/Delta E_S,13.177521443202506,142683,90423,3.156041406304766e-05,higher,0.3145905450443232,0.6854094549556767,0.6854094549556767,0.5549145872462212,0.4450854127537787,0.4450854127537787,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
es_sigma_s,Delta E_S abs(Delta sigma_S)/V0,1.4579681833242152e-12,75797,157309,1.9019404748021884e-05,lower,0.6774749125997062,0.3225250874002938,0.6774749125997062,0.41999821125122977,0.5800017887487703,0.41999821125122977,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
er_plus_es,(abs(Delta E_R)+Delta E_S)/V0,6.291850733046528e-08,76131,156975,1.2683047439843165e-05,lower,0.6714148839449403,0.32858511605505963,0.6714148839449403,0.4058223772471156,0.5941776227528843,0.4058223772471156,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
es,Delta E_S/V0,6.14221589215012e-08,74247,158859,2.0578696774187222e-05,lower,0.6628121837546783,0.3371878162453217,0.6628121837546783,0.39754941418477774,0.6024505858152223,0.39754941418477774,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
es_over_dg,Delta E_S/(V0 Delta gamma),0.00614221589215012,74247,158859,2.0578696773299043e-05,lower,0.6628121837546783,0.3371878162453217,0.6628121837546783,0.39754941418477774,0.6024505858152223,0.39754941418477774,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
es_over_dg2,Delta E_S/(V0 Delta gamma^2),614.2215892150119,74247,158859,2.0578696773299043e-05,lower,0.6628121837546783,0.3371878162453217,0.6628121837546783,0.39754941418477774,0.6024505858152223,0.39754941418477774,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
er_plus_ei,(abs(Delta E_R)+abs(Delta E_I))/V0,6.828161570056693e-07,67056,166050,1.0096204106524453e-05,lower,0.6274681599132347,0.3725318400867654,0.6274681599132347,0.3513102584741973,0.6486897415258027,0.3513102584741973,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
