feature,feature_label,mean_best_balanced_accuracy,min_best_balanced_accuracy,mean_lower_balanced_accuracy,mean_higher_balanced_accuracy
es_over_dg,Delta E_S/(V0 Delta gamma),0.6974117384126666,0.6002548823661278,0.6974117384126666,0.3025882615873333
es_over_dg2,Delta E_S/(V0 Delta gamma^2),0.6974117384126666,0.6002548823661278,0.6974117384126666,0.3025882615873333
er_plus_es,(abs(Delta E_R)+Delta E_S)/V0,0.7097234762403024,0.6053347462527252,0.7097234762403024,0.2902765237596975
er_over_sigma_r2,abs(Delta E_R)/(V0 abs(Delta sigma_R)^2),0.7735203800272348,0.7218753944112046,0.7735203800272348,0.22647961997276528
sigma_r2_over_er,abs(Delta sigma_R)^2/(abs(Delta E_R)/V0),0.7735203800272348,0.7218753944112046,0.22647961997276528,0.7735203800272348
sigma_r_fraction,abs(Delta sigma_R)/(abs(Delta sigma_R)+abs(Delta sigma_I)),0.7828713190295815,0.6975963964604905,0.7828713190295815,0.2171286809704185
sigma_i_over_dg,abs(Delta sigma_I)/Delta gamma,0.7911563638552532,0.6367194466948607,0.7911563638552532,0.20884363614474677
sigma_i,abs(Delta sigma_I),0.7911563638552532,0.6367194466948607,0.7911563638552532,0.20884363614474677
sigma_r_over_sigma_i,abs(Delta sigma_R)/abs(Delta sigma_I),0.8169175545940643,0.7227138546622153,0.8169175545940643,0.1830824454059358
sigma_r_over_dg,abs(Delta sigma_R)/Delta gamma,0.8514061976231527,0.7092885531570149,0.8514061976231527,0.1485938023768472
sigma_r,abs(Delta sigma_R),0.8514061976231527,0.7092885531570149,0.8514061976231527,0.1485938023768472
er_sigma_s,abs(Delta E_R) abs(Delta sigma_S)/V0,0.8767729380613595,0.6100636179236585,0.8767729380613595,0.1232270619386405
sigma_r_over_sigma_s,abs(Delta sigma_R)/abs(Delta sigma_S),0.8998756677082245,0.8520061883507707,0.8998756677082245,0.10012433229177553
er_over_ei,abs(Delta E_R)/abs(Delta E_I),0.9046093284327463,0.7970219435736677,0.9046093284327463,0.09539067156725362
er_over_es,abs(Delta E_R)/Delta E_S,0.9046274568957454,0.8191038170754195,0.9046274568957454,0.09537254310425455
er_fraction,abs(Delta E_R)/(abs(Delta E_R)+abs(Delta E_I)),0.9056703573979485,0.7967222939332472,0.9056703573979485,0.09432964260205143
er_sigma_r,abs(Delta E_R) abs(Delta sigma_R)/V0,0.910038872073167,0.6918910197307764,0.910038872073167,0.0899611279268329
er,abs(Delta E_R)/V0,0.9100980192212521,0.6824866310160428,0.9100980192212521,0.08990198077874792
er_over_dg2,abs(Delta E_R)/(V0 Delta gamma^2),0.9100980192212521,0.6824866310160428,0.9100980192212521,0.08990198077874792
er_over_dg,abs(Delta E_R)/(V0 Delta gamma),0.9100980192212521,0.6824866310160428,0.9100980192212521,0.08990198077874792
