feature,feature_label,mean_best_balanced_accuracy,min_best_balanced_accuracy,mean_lower_balanced_accuracy,mean_higher_balanced_accuracy
sigma_s_over_dg,abs(Delta sigma_S)/Delta gamma,0.6619018647413395,0.5265800839644793,0.6619018647413395,0.3380981352586605
ei_over_es,abs(Delta E_I)/Delta E_S,0.6680560842992599,0.6539039855925379,0.3319439157007401,0.6680560842992599
es_sigma_s,Delta E_S abs(Delta sigma_S)/V0,0.6733393706425979,0.6599475640501178,0.6733393706425979,0.32666062935740214
sigma_r_over_sigma_s,abs(Delta sigma_R)/abs(Delta sigma_S),0.7053873842900024,0.5,0.7053873842900024,0.2946126157099977
sigma_s2_over_es,abs(Delta sigma_S)^2/(Delta E_S/V0),0.7102091743250949,0.5234039957062192,0.7102091743250949,0.28979082567490505
es_over_sigma_s2,Delta E_S/(V0 abs(Delta sigma_S)^2),0.7102091743250949,0.5234039957062192,0.28979082567490505,0.7102091743250949
er_over_sigma_r2,abs(Delta E_R)/(V0 abs(Delta sigma_R)^2),0.7107275086827824,0.5664525589340933,0.7107275086827824,0.28927249131721755
sigma_r2_over_er,abs(Delta sigma_R)^2/(abs(Delta E_R)/V0),0.7107275086827824,0.5664525589340933,0.28927249131721755,0.7107275086827824
sigma_r,abs(Delta sigma_R),0.7408126398550253,0.5,0.7406576491544674,0.2593423508455326
sigma_r_over_dg,abs(Delta sigma_R)/Delta gamma,0.7408126398550253,0.5,0.7406576491544674,0.2593423508455326
er_over_es,abs(Delta E_R)/Delta E_S,0.7731647389035499,0.5000967211529161,0.7731647389035499,0.2268352610964501
er_fraction,abs(Delta E_R)/(abs(Delta E_R)+abs(Delta E_I)),0.7803858822201316,0.5,0.7803858822201316,0.2196141177798684
er_over_ei,abs(Delta E_R)/abs(Delta E_I),0.7833478410116526,0.5,0.7833478410116526,0.2166521589883475
er_sigma_r,abs(Delta E_R) abs(Delta sigma_R)/V0,0.8641374670229297,0.5,0.8641374670229297,0.1358625329770703
er,abs(Delta E_R)/V0,0.8646055415055585,0.5005319663410388,0.8646055415055585,0.1353944584944415
er_over_dg,abs(Delta E_R)/(V0 Delta gamma),0.8646055415055585,0.5005319663410388,0.8646055415055585,0.1353944584944415
er_over_dg2,abs(Delta E_R)/(V0 Delta gamma^2),0.8646055415055585,0.5005319663410388,0.8646055415055585,0.1353944584944415
er_sigma_s,abs(Delta E_R) abs(Delta sigma_S)/V0,0.8738982985024542,0.5343360092852307,0.8738982985024542,0.12610170149754588
sigma_i,abs(Delta sigma_I),0.9631213779797129,0.8957845767478151,0.9631213779797129,0.0368786220202871
sigma_i_over_dg,abs(Delta sigma_I)/Delta gamma,0.9631213779797129,0.8957845767478151,0.9631213779797129,0.0368786220202871
