size,regime,feature,feature_label,sample_count,forward_only_pool_count,otsu_cut,otsu_closing_count,otsu_nonclosing_count,log10_gap_at_cut,status
50,pre,er,abs(Delta E_R)/V0,6,2828,1.0787905541040991e-08,2509,319,2.098905130630862,ok
50,pre,es,Delta E_S/V0,6,2828,1.3399650536617477e-06,2539,289,0.03288296270615554,ok
50,pre,ei,abs(Delta E_I)/V0,6,2828,1.450223749507203e-06,2540,288,0.03395245601131247,ok
50,pre,sigma_r,abs(Delta sigma_R),6,2828,5.715722312589961e-06,2521,307,0.17682019088630252,ok
50,pre,sigma_i,abs(Delta sigma_I),6,2828,5.724864095021131e-06,2521,307,0.17801985142344368,ok
50,pre,sigma_s,abs(Delta sigma_S),6,2828,2.5242543907249233e-05,2545,283,0.03656388880570827,ok
50,pre,er_over_dg,abs(Delta E_R)/(V0 Delta gamma),6,2828,0.0010787905541030202,2509,319,2.0989051306308624,ok
50,pre,er_over_dg2,abs(Delta E_R)/(V0 Delta gamma^2),6,2828,107.87905541019413,2509,319,2.0989051306308624,ok
50,pre,es_over_dg,Delta E_S/(V0 Delta gamma),6,2828,0.13399650536604074,2539,289,0.03288296270615554,ok
50,pre,es_over_dg2,Delta E_S/(V0 Delta gamma^2),6,2828,13399.650536590676,2539,289,0.03288296270615554,ok
50,pre,ei_over_dg,abs(Delta E_I)/(V0 Delta gamma),6,2828,0.14502237495057527,2540,288,0.03395245601131247,ok
50,pre,ei_over_dg2,abs(Delta E_I)/(V0 Delta gamma^2),6,2828,14502.237495043024,2540,288,0.03395245601131247,ok
50,pre,sigma_r_over_dg,abs(Delta sigma_R)/Delta gamma,6,2828,0.5715722312584245,2521,307,0.17682019088630233,ok
50,pre,sigma_i_over_dg,abs(Delta sigma_I)/Delta gamma,6,2828,0.5724864095015405,2521,307,0.17801985142344362,ok
50,pre,sigma_s_over_dg,abs(Delta sigma_S)/Delta gamma,6,2828,2.524254390722399,2545,283,0.03656388880570827,ok
50,pre,er_over_es,abs(Delta E_R)/Delta E_S,6,2828,0.055501829412353695,2421,407,0.008509646766931667,ok
50,pre,ei_over_es,abs(Delta E_I)/Delta E_S,6,2828,2.606032155331542,2733,95,0.0065937775255160425,ok
50,pre,sigma_r_over_sigma_s,abs(Delta sigma_R)/abs(Delta sigma_S),6,2828,0.09288601498427744,1575,1253,0.001931592414807115,ok
50,pre,sigma_i_over_sigma_s,abs(Delta sigma_I)/abs(Delta sigma_S),6,2828,0.08751319438460686,1661,1167,0.004242518537353135,ok
50,pre,sigma_r_over_sigma_i,abs(Delta sigma_R)/abs(Delta sigma_I),6,2828,1.6487660635130674,2044,784,0.008757074695866063,ok
50,pre,er_over_ei,abs(Delta E_R)/abs(Delta E_I),6,2828,0.05293634560930851,2432,396,0.01739996289749568,ok
50,pre,er_fraction,abs(Delta E_R)/(abs(Delta E_R)+abs(Delta E_I)),6,2828,0.03420183967031874,2400,428,0.007227578166785653,ok
50,pre,sigma_r_fraction,abs(Delta sigma_R)/(abs(Delta sigma_R)+abs(Delta sigma_I)),6,2828,0.2841227334979,109,2719,0.01181678950270637,ok
50,pre,er_plus_ei,(abs(Delta E_R)+abs(Delta E_I))/V0,6,2828,1.8327706462230823e-06,2525,303,0.03933327792897234,ok
50,pre,er_minus_ei,abs(abs(Delta E_R)-abs(Delta E_I))/V0,6,2828,3.966917207697611e-08,1234,1594,0.001124651156768408,ok
50,pre,er_plus_es,(abs(Delta E_R)+Delta E_S)/V0,6,2828,1.675047223761517e-06,2523,305,0.03308695354997582,ok
50,pre,er_sigma_r,abs(Delta E_R) abs(Delta sigma_R)/V0,6,2828,4.333894854777963e-14,2510,318,2.005251245899535,ok
50,pre,er_sigma_s,abs(Delta E_R) abs(Delta sigma_S)/V0,6,2828,1.379094253543043e-13,2509,319,2.7847928164804685,ok
50,pre,ei_sigma_i,abs(Delta E_I) abs(Delta sigma_I)/V0,6,2828,5.487760159611056e-12,2520,308,0.032977436046625286,ok
50,pre,es_sigma_s,Delta E_S abs(Delta sigma_S)/V0,6,2828,2.8230155454207238e-11,2534,294,0.01990391535566971,ok
50,pre,er_over_sigma_r2,abs(Delta E_R)/(V0 abs(Delta sigma_R)^2),6,2828,12935.45536152739,2371,457,0.012193637659748013,ok
50,pre,es_over_sigma_s2,Delta E_S/(V0 abs(Delta sigma_S)^2),6,2828,1197.0212555631745,1089,1739,0.002401892060692745,ok
50,pre,sigma_r2_over_er,abs(Delta sigma_R)^2/(abs(Delta E_R)/V0),6,2828,7.730690354930978e-05,457,2371,0.012193637659748013,ok
50,pre,sigma_s2_over_es,abs(Delta sigma_S)^2/(Delta E_S/V0),6,2828,0.0008354070534274014,1739,1089,0.002401892060692745,ok
50,post,er,abs(Delta E_R)/V0,6,4139,7.654692645680756e-08,3748,391,0.22330915742344182,ok
50,post,es,Delta E_S/V0,6,4139,2.0374757575910757e-06,3778,361,0.05670290945241252,ok
50,post,ei,abs(Delta E_I)/V0,6,4139,3.039603030310298e-06,3786,353,0.053843118528528855,ok
50,post,sigma_r,abs(Delta sigma_R),6,4139,3.349521409738243e-06,3750,389,0.21529689978893352,ok
50,post,sigma_i,abs(Delta sigma_I),6,4139,4.95041457152327e-06,3751,388,0.12324412770642201,ok
50,post,sigma_s,abs(Delta sigma_S),6,4139,4.094341385796465e-05,3810,329,0.012396577199575098,ok
50,post,er_over_dg,abs(Delta E_R)/(V0 Delta gamma),6,4139,0.0076546926456730995,3748,391,0.22330915742344182,ok
50,post,er_over_dg2,abs(Delta E_R)/(V0 Delta gamma^2),6,4139,765.4692645665444,3748,391,0.22330915742344182,ok
50,post,es_over_dg,Delta E_S/(V0 Delta gamma),6,4139,0.20374757575890382,3778,361,0.056702909452413186,ok
50,post,es_over_dg2,Delta E_S/(V0 Delta gamma^2),6,4139,20374.757575870008,3778,361,0.05670290945241252,ok
50,post,ei_over_dg,abs(Delta E_I)/(V0 Delta gamma),6,4139,0.3039603030307258,3786,353,0.05384311852852902,ok
50,post,ei_over_dg2,abs(Delta E_I)/(V0 Delta gamma^2),6,4139,30396.030303042182,3786,353,0.053843118528528855,ok
50,post,sigma_r_over_dg,abs(Delta sigma_R)/Delta gamma,6,4139,0.33495214097348935,3750,389,0.21529689978893435,ok
50,post,sigma_i_over_dg,abs(Delta sigma_I)/Delta gamma,6,4139,0.49504145715183195,3751,388,0.12324412770642212,ok
50,post,sigma_s_over_dg,abs(Delta sigma_S)/Delta gamma,6,4139,4.09434138579237,3810,329,0.012396577199574432,ok
50,post,er_over_es,abs(Delta E_R)/Delta E_S,6,4139,0.0310145714120384,3684,455,0.01471147889164981,ok
50,post,ei_over_es,abs(Delta E_I)/Delta E_S,6,4139,3.2505538871388575,3642,497,0.0009188749213965286,ok
