feature,feature_label,otsu_cut,reversible_side,otsu_closing_count,otsu_nonclosing_count,log10_gap_at_cut,agreement_fraction,balanced_accuracy,macro_f1,reversible_precision,reversible_recall,irreversible_precision,irreversible_recall,true_reversible_count,true_irreversible_count,predicted_reversible_count,predicted_irreversible_count,true_positive,true_negative,false_positive,false_negative,setting,setting_attribute,sample_count,event_count,reference_reversible_count,reference_irreversible_count,discarded_island_count,reference_final_cut
relaxation_energy_magnitude,$|\Delta E_R|/V_0$,2.6764244509822608e-09,lower,21719,1925,0.020894067482188916,0.9988580612417527,0.9930840163934427,0.9962069451438796,0.9987568488420278,1.0,1.0,0.9861680327868853,21692,1952,21719,1925,21692,1925,27,0,1e-06,load_increment,4,23644,21692,1952,0,0.0002833540117684935
relaxation_stress_magnitude,$|\Delta\sigma_R|$,2.43417665318565e-05,lower,21765,1879,0.010796637838629053,0.9968279478937574,0.981022031994873,0.9893485110773592,0.996600045945325,0.9999539000553199,0.9994678020223523,0.9620901639344263,21692,1952,21765,1879,21691,1878,74,1,1e-06,load_increment,4,23644,21692,1952,0,0.0002833540117684935
energy_drop_density,$\Delta E_S/V_0$,3.410853454827864e-07,lower,22058,1586,0.005261852756336616,0.9845203857215361,0.90625,0.9440930049261085,0.9834073805422069,1.0,1.0,0.8125,21692,1952,22058,1586,21692,1586,366,0,1e-06,load_increment,4,23644,21692,1952,0,0.0002833540117684935
relaxation_energy_magnitude,$|\Delta E_R|/V_0$,1.3616278388875581e-08,lower,23364,1854,0.0069617555823251465,0.9982155603140613,0.9881516587677726,0.9935228219968848,0.9980739599383667,1.0,1.0,0.976303317535545,23319,1899,23364,1854,23319,1854,45,0,5e-06,load_increment,4,25218,23319,1899,0,0.0004583653292233264
relaxation_stress_magnitude,$|\Delta\sigma_R|$,6.0621321417095346e-05,lower,23455,1763,0.010865307024375603,0.9946070267269411,0.9641916798314902,0.9799771129507383,0.9942016627584737,1.0,1.0,0.9283833596629805,23319,1899,23455,1763,23319,1763,136,0,5e-06,load_increment,4,25218,23319,1899,0,0.0004583653292233264
energy_drop_density,$\Delta E_S/V_0$,1.1935366536780973e-06,lower,23811,1407,0.0017947062580816464,0.9804901261004044,0.8704581358609795,0.9203702313137043,0.9793372810885725,1.0,1.0,0.740916271721959,23319,1899,23811,1407,23319,1407,492,0,5e-06,load_increment,4,25218,23319,1899,0,0.0004583653292233264
relaxation_energy_magnitude,$|\Delta E_R|/V_0$,2.989101824120071e-08,lower,24917,1757,0.02622279282020923,0.9965884381795006,0.9753787878787878,0.9864639392106496,0.9963478749448168,1.0,1.0,0.9507575757575758,24826,1848,24917,1757,24826,1757,91,0,1e-05,load_increment,4,26674,24826,1848,0,0.0004871165137041288
relaxation_stress_magnitude,$|\Delta\sigma_R|$,9.290339945817916e-05,lower,24987,1687,0.0025873010094015214,0.993814201094699,0.9558579880470237,0.9750057577432951,0.9934766078360747,0.9999194392975107,0.998814463544754,0.9117965367965368,24826,1848,24987,1687,24824,1685,163,2,1e-05,load_increment,4,26674,24826,1848,0,0.0004871165137041288
energy_drop_density,$\Delta E_S/V_0$,2.427531448239088e-06,lower,25439,1235,0.006584582226192737,0.9770188198245483,0.8341450216450217,0.8944861646184725,0.9759031408467314,1.0,1.0,0.6682900432900433,24826,1848,25439,1235,24826,1235,613,0,1e-05,load_increment,4,26674,24826,1848,0,0.0004871165137041288
relaxation_energy_magnitude,$|\Delta E_R|/V_0$,2.007648582260798e-07,lower,14226,1494,0.009682894650159923,0.9910941475826972,0.9571603427172583,0.9751490335313702,0.9901588640517363,1.0,1.0,0.9143206854345165,14086,1634,14226,1494,14086,1494,140,0,5e-05,load_increment,4,15720,14086,1634,0,0.00032774221679043137
relaxation_stress_magnitude,$|\Delta\sigma_R|$,0.0002386982747482918,lower,14373,1347,0.0011020142338442618,0.9817430025445293,0.9121787025703794,0.9468194497309341,0.9800320044527935,1.0,1.0,0.8243574051407588,14086,1634,14373,1347,14086,1347,287,0,5e-05,load_increment,4,15720,14086,1634,0,0.00032774221679043137
energy_drop_density,$\Delta E_S/V_0$,5.066645755066888e-06,lower,14651,1069,0.005956513891791637,0.964058524173028,0.8271113831089352,0.885655964418713,0.9614360794485018,1.0,1.0,0.6542227662178702,14086,1634,14651,1069,14086,1069,565,0,5e-05,load_increment,4,15720,14086,1634,0,0.00032774221679043137
relaxation_energy_magnitude,$|\Delta E_R|/V_0$,4.644820137055002e-07,lower,11332,1372,0.008996135045590492,0.9849653652392947,0.9388995521433141,0.9632121256088416,0.9831450758912813,1.0,1.0,0.8777991042866283,11141,1563,11332,1372,11141,1372,191,0,0.0001,load_increment,4,12704,11141,1563,0,0.00024184783383779068
relaxation_stress_magnitude,$|\Delta\sigma_R|$,0.00038500928550610635,lower,11526,1178,0.0009136123596173995,0.9693797229219143,0.8761098575733388,0.9204597400039307,0.9664237376366476,0.9998204829009963,0.99830220713073,0.7523992322456814,11141,1563,11526,1178,11139,1176,387,2,0.0001,load_increment,4,12704,11141,1563,0,0.00024184783383779068
energy_drop_density,$\Delta E_S/V_0$,8.37658445971219e-06,lower,11728,976,0.0029383817276427138,0.953794080604534,0.8122200895713372,0.8715693410097076,0.9499488403819918,1.0,1.0,0.6244401791426744,11141,1563,11728,976,11141,976,587,0,0.0001,load_increment,4,12704,11141,1563,0,0.00024184783383779068
