feature,feature_label,otsu_cut,reversible_side,otsu_closing_count,otsu_nonclosing_count,log10_gap_at_cut,agreement_fraction,balanced_accuracy,macro_f1,reversible_precision,reversible_recall,irreversible_precision,irreversible_recall,true_reversible_count,true_irreversible_count,predicted_reversible_count,predicted_irreversible_count,true_positive,true_negative,false_positive,false_negative,setting,setting_attribute,sample_count,event_count,reference_reversible_count,reference_irreversible_count,discarded_island_count,reference_final_cut
relaxation_energy_magnitude,$|\Delta E_R|/V_0$,2.800853236240018e-08,lower,20538,1824,0.016979758798374434,0.9968249709328325,0.981927791531239,0.9895733766960882,0.9966890641737267,0.9998534655399794,0.9983552631578947,0.9640021175224986,20473,1889,20538,1824,20470,1821,68,3,1e-07,eps_x,4,22362,20473,1889,0,0.000169008481728848
relaxation_stress_magnitude,$|\Delta\sigma_R|$,8.461245443896359e-05,lower,20620,1742,0.002260968309342637,0.9934263482693856,0.9610905240868184,0.9779690167227064,0.9928709990300679,1.0,1.0,0.9221810481736369,20473,1889,20620,1742,20473,1742,147,0,1e-07,eps_x,4,22362,20473,1889,0,0.000169008481728848
energy_drop_density,$\Delta E_S/V_0$,1.8318162863142113e-06,lower,21034,1328,0.012866459106708028,0.974912798497451,0.851508734780307,0.9060490667505523,0.9733288960730246,1.0,1.0,0.7030174695606141,20473,1889,21034,1328,20473,1328,561,0,1e-07,eps_x,4,22362,20473,1889,0,0.000169008481728848
relaxation_energy_magnitude,$|\Delta E_R|/V_0$,2.989101824120071e-08,lower,24917,1757,0.02622279282020923,0.9965884381795006,0.9753787878787878,0.9864639392106496,0.9963478749448168,1.0,1.0,0.9507575757575758,24826,1848,24917,1757,24826,1757,91,0,1e-06,eps_x,4,26674,24826,1848,0,0.0004871165137041288
relaxation_stress_magnitude,$|\Delta\sigma_R|$,9.290339945817916e-05,lower,24987,1687,0.0025873010094015214,0.993814201094699,0.9558579880470237,0.9750057577432951,0.9934766078360747,0.9999194392975107,0.998814463544754,0.9117965367965368,24826,1848,24987,1687,24824,1685,163,2,1e-06,eps_x,4,26674,24826,1848,0,0.0004871165137041288
energy_drop_density,$\Delta E_S/V_0$,2.427531448239088e-06,lower,25439,1235,0.006584582226192737,0.9770188198245483,0.8341450216450217,0.8944861646184725,0.9759031408467314,1.0,1.0,0.6682900432900433,24826,1848,25439,1235,24826,1235,613,0,1e-06,eps_x,4,26674,24826,1848,0,0.0004871165137041288
relaxation_energy_magnitude,$|\Delta E_R|/V_0$,3.6303572795262586e-08,lower,15303,1619,0.021485646680000414,0.9960406571327266,0.9801304863582443,0.988766884674486,0.9956217735084624,1.0,1.0,0.9602609727164887,15236,1686,15303,1619,15236,1619,67,0,1e-05,eps_x,4,16922,15236,1686,155,0.0009267431631196093
relaxation_stress_magnitude,$|\Delta\sigma_R|$,9.305312201378452e-05,lower,15362,1560,0.0036837495487995753,0.9924358822834181,0.9623040750398553,0.978191785778306,0.9917328472855097,0.9999343659753216,0.9993589743589744,0.924673784104389,15236,1686,15362,1560,15235,1559,127,1,1e-05,eps_x,4,16922,15236,1686,155,0.0009267431631196093
energy_drop_density,$\Delta E_S/V_0$,1.81603937402586e-06,lower,15690,1232,0.004378216087035369,0.9731710199739984,0.865361803084223,0.9148668889103915,0.9710643722115997,1.0,1.0,0.730723606168446,15236,1686,15690,1232,15236,1232,454,0,1e-05,eps_x,4,16922,15236,1686,155,0.0009267431631196093
relaxation_energy_magnitude,$|\Delta E_R|/V_0$,4.140200261477192e-07,lower,10511,1441,0.0038232892437761734,0.9837684069611781,0.9427414372547455,0.9635860977230004,0.9825896679668918,0.9989360673179224,0.9923664122137404,0.8865468071915685,10339,1613,10511,1441,10328,1430,183,11,0.0001,eps_x,4,11952,10339,1613,3193,0.004013902701131665
relaxation_stress_magnitude,$|\Delta\sigma_R|$,0.000359739553276505,lower,10678,1274,0.0014796442204203508,0.9714692101740294,0.8945579630441247,0.932829674112594,0.9681588312418056,0.9999032788470839,0.9992150706436421,0.7892126472411656,10339,1613,10678,1274,10338,1273,340,1,0.0001,eps_x,4,11952,10339,1613,3193,0.004013902701131665
energy_drop_density,$\Delta E_S/V_0$,2.0247811865350307e-06,lower,10755,1197,0.009658662425597875,0.9650267737617135,0.8706893951581978,0.9157147450810756,0.9612273361227336,0.9999032788470839,0.9991645781119465,0.7414755114693118,10339,1613,10755,1197,10338,1196,417,1,0.0001,eps_x,4,11952,10339,1613,3193,0.004013902701131665
