rank,setting,epsilon_x,event_count,feature,feature_label,otsu_cut,reversible_side,otsu_closing_count,otsu_nonclosing_count,log10_gap_at_cut,agreement_fraction,balanced_accuracy,macro_f1,reversible_precision,reversible_recall,irreversible_precision,irreversible_recall,true_reversible_count,true_irreversible_count,predicted_reversible_count,predicted_irreversible_count,true_positive,true_negative,false_positive,false_negative
1,1e-05,1e-06,26674,relaxation_energy_magnitude,$|\Delta E_R|/V_0$,2.989101824120071e-08,lower,24917,1757,0.02622279282020923,0.9965884381795006,0.9753787878787878,0.9864639392106496,0.9963478749448168,1.0,1.0,0.9507575757575758,24826,1848,24917,1757,24826,1757,91,0
2,1e-05,1e-06,26674,m3_density,$m_3/V_0$,0.0007483314773547883,lower,25134,1540,0.05799194697768684,0.9884531753767714,0.9166666666666667,0.9514629885726764,0.9877456831383783,1.0,1.0,0.8333333333333334,24826,1848,25134,1540,24826,1540,308,0
3,1e-05,1e-06,26674,m3_stress_squared,$(m_3/V_0)|\Delta\sigma_S|^2$,1.8946746220668014e-11,lower,25165,1509,0.00589323468606473,0.9872909949763815,0.9082792207792207,0.9461178794131112,0.9865289091992847,1.0,1.0,0.8165584415584416,24826,1848,25165,1509,24826,1509,339,0
4,1e-05,1e-06,26674,stress_drop_magnitude,$|\Delta\sigma_S|$,0.00016169240796269738,lower,25175,1499,0.011660136588750536,0.9869160980730299,0.9055735930735931,0.9443738283883859,0.9861370407149951,1.0,1.0,0.8111471861471862,24826,1848,25175,1499,24826,1499,349,0
5,1e-05,1e-06,26674,stress_over_delta_gamma,$|\Delta\sigma_S|/\Delta\gamma$,16.16924079626974,lower,25175,1499,0.011660136588750536,0.9869160980730299,0.9055735930735931,0.9443738283883859,0.9861370407149951,1.0,1.0,0.8111471861471862,24826,1848,25175,1499,24826,1499,349,0
6,1e-05,1e-06,26674,m3_participation_fraction,$P_{m_3}$,0.6688759536714047,higher,1913,24761,9.17740991057403e-05,0.9685461498088026,0.8861888484109139,0.8800006372230478,0.9843705827712935,0.9817932812374124,0.7637219027705175,0.7905844155844156,24826,1848,24761,1913,24374,1461,387,452
7,1e-05,1e-06,26674,energy_drop_density,$\Delta E_S/V_0$,2.427531448239088e-06,lower,25439,1235,0.006584582226192737,0.9770188198245483,0.8341450216450217,0.8944861646184725,0.9759031408467314,1.0,1.0,0.6682900432900433,24826,1848,25439,1235,24826,1235,613,0
8,1e-05,1e-06,26674,energy_over_delta_gamma_squared,$\Delta E_S/[V_0(\Delta\gamma)^2]$,24275.314482390877,lower,25439,1235,0.006584582226192737,0.9770188198245483,0.8341450216450217,0.8944861646184725,0.9759031408467314,1.0,1.0,0.6682900432900433,24826,1848,25439,1235,24826,1235,613,0
9,1e-05,1e-06,26674,inter_strain_energy_magnitude,$|\Delta E_I|/V_0$,9.247234725701776e-06,lower,25726,948,0.004243100492870688,0.9662592786983579,0.7564935064935066,0.8301540690349358,0.9650159371841717,1.0,1.0,0.512987012987013,24826,1848,25726,948,24826,948,900,0
10,1e-05,1e-06,26674,participation_fraction,$P$,0.24000049426508863,higher,9145,17529,5.634181184555054e-05,0.6359376171552823,0.5021586824384294,0.44367165621960325,0.9311426778481374,0.6574558930153871,0.07009294696555494,0.34686147186147187,24826,1848,17529,9145,16322,641,1207,8504
