field,delta_gamma,positive_reversible_steps,first_otsu_cut,final_otsu_cut,island_removal_cut,simpleDrop_xmin,simpleDrop_D,global_min_xmin,global_min_D,simpleDrop_search_max,xmin_refinement
R,1e-06,21692,0.0002833540117684935,0.0002833540117684935,,3.361090199724609e-13,0.09195460516753343,2.5221214677695345e-12,0.03573922935423762,0.0001,coarse_scan
R,5e-06,23319,0.0004583653292233264,0.0004583653292233264,,1.2944938553496215e-11,0.03671124661449786,1.7775754923533503e-11,0.01832711536597631,0.0001,coarse_scan
R,1e-05,24826,0.0004871165137041288,0.0004871165137041288,,5.961682193953219e-11,0.0979187594343621,8.385716928087185e-11,0.025397627573538695,0.0001,coarse_scan
R,5e-05,14086,0.00032774221679043137,0.00032774221679043137,,1.2364531308426448e-09,0.03650730889514592,1.5604999836071213e-09,0.03290332083528302,0.0001,coarse_scan
R,0.0001,11141,0.00024184783383779068,0.00024184783383779068,,4.9514017201155616e-09,0.03662069101545057,4.9514017201155616e-09,0.03662069101545057,0.0001,coarse_scan
S,1e-06,21692,0.0002833540117684935,0.0002833540117684935,,4.887026737477103e-09,0.0661908468572292,1.0886467023166214e-08,0.06407770941801588,0.0001,coarse_scan
S,5e-06,23319,0.0004583653292233264,0.0004583653292233264,,3.595295205199095e-08,0.050697557391436,3.595295205199095e-08,0.050697557391436,0.0001,coarse_scan
S,1e-05,24826,0.0004871165137041288,0.0004871165137041288,,1.073473314060464e-07,0.06180488645118687,1.073473314060464e-07,0.06180488645118687,0.0001,coarse_scan
S,5e-05,14086,0.00032774221679043137,0.00032774221679043137,,7.901719082642514e-08,0.09489972408180308,8.943780504137782e-07,0.022296270829020304,0.0001,coarse_scan
S,0.0001,11141,0.00024184783383779068,0.00024184783383779068,,9.715606375123749e-07,0.024129959868958606,9.715606375123749e-07,0.024129959868958606,0.0001,coarse_scan
I,1e-06,57,0.0002833540117684935,0.0002833540117684935,,8.409559833778496e-10,0.18232710147322367,8.409559833778496e-10,0.18232710147322367,0.0001,coarse_scan
I,5e-06,57,0.0004583653292233264,0.0004583653292233264,,4.140691487055743e-09,0.18060124235753605,7.11108101310489e-09,0.1673762303951219,0.0001,coarse_scan
I,1e-05,52,0.0004871165137041288,0.0004871165137041288,,2.4956185515329514e-09,0.1789389555634664,7.432936050098722e-09,0.1766257455174125,0.0001,coarse_scan
I,5e-05,39,0.00032774221679043137,0.00032774221679043137,,7.108586802954028e-08,0.14504989480858033,7.108586802954028e-08,0.14504989480858033,0.0001,coarse_scan
I,0.0001,28,0.00024184783383779068,0.00024184783383779068,,8.1012117026e-08,0.1678381507613534,8.1012117026e-08,0.1678381507613534,0.0001,coarse_scan
