regime,size,kappa_det,labeled_count,reversible_count,irreversible_count,E_S_all_count,E_S_reversible_count,E_S_irreversible_count
pre,50,3.037878787878814,205827,204884,943,2828,2486,342
pre,100,3.037878787878814,209994,208827,1167,2755,1856,899
pre,150,3.037878787878814,209984,207932,2052,1814,423,1391
pre,200,3.037878787878814,209978,206841,3137,14471,12511,1960
pre,250,3.037878787878814,209975,205681,4294,9419,6916,2503
post,50,3.037878787878814,179994,179561,433,4139,3746,393
post,100,3.037878787878814,179988,178958,1030,697,0,697
post,150,3.037878787878814,179985,178153,1832,15607,14252,1355
post,200,3.037878787878814,179981,177144,2837,32389,30265,2124
post,250,3.037878787878814,179968,176245,3723,19226,16603,2623
