regime,size,field,data_count,classification_kappa_det,population_mode,xmin,tail_count,alpha,alpha_std,Lambda,Lambda_std,D,p,p_std,es_xmin_ks
pre,50,initial_guess_energy,943,3.037878787878814,classified,2.2230342331e-06,371,0.8277632029465739,0.016461274950096152,0.23217638181101213,0.03648946323663713,0.06506780281226107,0.0,0.1,
pre,50,second_order,342,3.037878787878814,classified,0.002546304847399483,299,0.9736251028760942,0.03945837420664982,0.14885339332285064,0.04405129679650488,0.07339393612390954,0.0,0.1,0.002546304847399483
pre,100,initial_guess_energy,1167,3.037878787878814,classified,1.1184608727,237,0.300949402163861,0.3378429974409885,0.5070710819293296,0.10433126895712866,0.026543364447543127,0.9166666666666666,0.1,
pre,100,second_order,899,3.037878787878814,classified,0.46321985443869634,350,0.22359379489692752,0.17656810535836787,0.5151066578798178,0.07863790400130402,0.025565698369961753,0.625,0.1,0.46321985443869634
pre,150,initial_guess_energy,2052,3.037878787878814,classified,0.14602216672,923,0.3852070446908456,0.07210817821090854,0.3853487582568259,0.02748545501840411,0.01592354846258004,0.625,0.1,
pre,150,second_order,1391,3.037878787878814,classified,0.2457635037047794,825,0.3086086474063896,0.08013961254843344,0.4072397436177032,0.032657636608115284,0.015899584638196185,0.75,0.1,0.2457635037047794
pre,200,initial_guess_energy,3137,3.037878787878814,classified,0.33347847823670795,1151,0.34611904495597284,0.08379430095910093,0.3014254639797702,0.024170380287781908,0.014967745516257736,0.6666666666666666,0.1,
pre,200,second_order,1960,3.037878787878814,classified,0.6847717759733314,959,0.40650443238241785,0.1112140027354809,0.29114738925790973,0.027243927503926874,0.014168569137014642,0.7916666666666666,0.1,0.6847717759733314
pre,250,initial_guess_energy,4294,3.037878787878814,classified,0.6917459066491415,1359,0.3382461107807482,0.09362188409818674,0.25748986011811914,0.020149607598129896,0.021215814071870343,0.041666666666666664,0.1,
pre,250,second_order,2503,3.037878787878814,classified,0.6557620545106602,1355,0.3313949028801627,0.08684128595605423,0.25819447029288545,0.01901774989108543,0.02022552018088175,0.041666666666666664,0.1,0.6557620545106602
post,50,initial_guess_energy,433,3.037878787878814,classified,0.82826416129,119,2.115312661829453,0.13649750798114627,0.00019193854458188998,0.015054227329141728,0.07078375022477568,0.08333333333333333,0.1,
post,50,second_order,393,3.037878787878814,classified,0.8263220136399951,119,2.113986120956544,0.13629388782443788,0.0001952577623295563,0.015014418088563871,0.0710065492708894,0.08333333333333333,0.1,0.8263220136399951
post,100,initial_guess_energy,1030,3.037878787878814,classified,0.00051836432465,928,0.9020637381550334,0.01854569541058877,0.12574229263495557,0.011607304785033893,0.01706143015664985,0.5,0.1,
post,100,second_order,697,3.037878787878814,classified,0.2435846389116989,403,1.0334474857265445,0.06606039767903016,0.09936079528034453,0.01843435332694484,0.019967255807865625,1.0,0.1,0.2435846389116989
post,150,initial_guess_energy,1832,3.037878787878814,classified,0.10556785113,877,0.9935802143534496,0.03888701105914275,0.06777603199992989,0.007728961793299808,0.015683541709280907,0.75,0.1,
post,150,second_order,1355,3.037878787878814,classified,0.03684703883129714,1035,0.9563266321099222,0.030023862070655993,0.0722650061018891,0.008632544362706697,0.015022348085471371,0.8333333333333334,0.1,0.03684703883129714
post,200,initial_guess_energy,2837,3.037878787878814,classified,0.0052686098402,2066,0.9897995653724294,0.012791169710931026,0.04715481766994251,0.00395937323028672,0.012578406034851164,0.5416666666666666,0.1,
post,200,second_order,2124,3.037878787878814,classified,0.38655351956549566,956,1.081952454461213,0.03826459959190575,0.03917208939970171,0.0037986878104360744,0.01646458549709351,0.8333333333333334,0.1,0.38655351956549566
post,250,initial_guess_energy,3723,3.037878787878814,classified,0.79902200755,967,1.1514396459227256,0.04899309613314322,0.028537200203282525,0.0038753110824138438,0.014436881435769183,0.9166666666666666,0.1,
post,250,second_order,2623,3.037878787878814,classified,0.8324093012156482,950,1.1564513149936584,0.04168131838719875,0.028213977417309896,0.0029474903543126835,0.013513998294350918,1.0,0.1,0.8324093012156482
