regime,size,field,data_count,classification_xmin_delta_E_R,population_mode,xmin,tail_count,alpha,alpha_std,Lambda,Lambda_std,D,p,p_std
pre,50,initial_guess_energy,205827,,all,0.0001287927631933802,349,0.8699363098224195,0.022995093942596544,0.2058653459970919,0.03427864648922213,0.06785923110563619,0.0,0.1
pre,50,second_order,2828,,all,0.002373190010867161,299,0.9646871305429123,0.039157538140212826,0.15267976659664634,0.04440764311723579,0.07395621599965962,0.0,0.1
pre,100,initial_guess_energy,209994,,all,0.4731876187518303,350,0.24118998548617204,0.1818135834513259,0.5096341820883039,0.08019599134018822,0.027523921699661447,0.5833333333333334,0.1
pre,100,second_order,2755,,all,0.691844040131522,294,0.036086213978681905,0.18286234828011366,0.565615765686195,0.0663186758905413,0.026011781702960368,0.8333333333333334,0.1
pre,150,initial_guess_energy,209984,,all,0.26513426503676907,824,0.3252951470171024,0.08603518160924802,0.4024787856480502,0.0331793978715165,0.01598023493259071,0.7916666666666666,0.1
pre,150,second_order,1814,,all,0.12579384590586754,933,0.3975069006053382,0.06407668460748753,0.38050952855383124,0.024720225157186356,0.016251734605349566,0.6666666666666666,0.1
pre,200,initial_guess_energy,209978,,all,0.30323620677021956,1173,0.3522413069782143,0.07965623964550739,0.30005390445972335,0.023519328928811135,0.0149553616996968,0.75,0.1
pre,200,second_order,14471,,all,0.35162841804606315,1121,0.33430992554077804,0.07933512741813865,0.30376717773674833,0.023055281806376827,0.015310829196873377,0.5416666666666666,0.1
pre,250,initial_guess_energy,209975,,all,0.8225083666062531,1282,0.3164096849690953,0.11008947077716573,0.2608250162441438,0.02406419814846664,0.02142184896673016,0.041666666666666664,0.1
pre,250,second_order,9419,,all,0.8024062076618654,1270,0.3074605096806324,0.10838269785484773,0.2620325667031247,0.022191470533244412,0.020281753666863578,0.08333333333333333,0.1
post,50,initial_guess_energy,179994,,all,0.002065059682761486,392,0.9133627098540134,0.0290498611541273,0.11011447935869176,0.01800225945905301,0.07482396096621802,0.0,0.1
post,50,second_order,4139,,all,0.006140640052527178,358,0.9543430486530473,0.035110417405793785,0.0973600117602921,0.017448243403452367,0.07945419015781274,0.0,0.1
post,100,initial_guess_energy,179988,,all,0.00047199868480926523,932,0.9001878747765266,0.017875361204408396,0.12645000773804435,0.011934863130813647,0.01725840979863902,0.625,0.1
post,100,second_order,697,,all,0.16364939312561905,451,1.0180496354048776,0.0473607933427656,0.10144150816353545,0.011494166290805262,0.020396701574879855,0.9583333333333334,0.1
post,150,initial_guess_energy,179985,,all,0.03476147323120097,1092,0.9842771261326211,0.03048505572449079,0.06956106206832124,0.00925177530442256,0.015724396834742638,0.625,0.1
post,150,second_order,15607,,all,0.035372035496693474,1041,0.9550489530397921,0.031428247185035015,0.07246297109678801,0.008475462149522073,0.014916545743457466,0.75,0.1
post,200,initial_guess_energy,179981,,all,0.00497552047125149,2075,0.9872230315538179,0.01194257143477769,0.04753269747408253,0.003857462286704886,0.013000628213348464,0.5416666666666666,0.1
post,200,second_order,32389,,all,0.39682089203277443,948,1.0817952026317832,0.04028405847773184,0.0391888758971497,0.004989470971360542,0.016598048778472707,0.75,0.1
post,250,initial_guess_energy,179968,,all,0.017046020232602606,2309,1.0290822673280722,0.01306051456410682,0.036250437596008864,0.004166693394688761,0.015443954975921104,0.20833333333333334,0.1
post,250,second_order,19226,,all,0.9240599496393245,914,1.1648631830675238,0.049891939045754584,0.027830745679750097,0.005194884180758395,0.014631884043556531,0.9166666666666666,0.1
