attribute,setting,seed,post_yield,class,class_label,count,event_count,fraction
eps_x,1e-07,0,False,reversible_elastic,reversible elastic,0,3661,0.0
eps_x,1e-07,0,False,reversible_plastic,reversible plastic,3425,3661,0.935536738596012
eps_x,1e-07,0,False,irreversible,irreversible,236,3661,0.06446326140398798
eps_x,1e-07,0,True,reversible_elastic,reversible elastic,0,2551,0.0
eps_x,1e-07,0,True,reversible_plastic,reversible plastic,2284,2551,0.8953351626813014
eps_x,1e-07,0,True,irreversible,irreversible,267,2551,0.10466483731869855
eps_x,1e-07,1,False,reversible_elastic,reversible elastic,0,3268,0.0
eps_x,1e-07,1,False,reversible_plastic,reversible plastic,3033,3268,0.9280905752753978
eps_x,1e-07,1,False,irreversible,irreversible,235,3268,0.0719094247246022
eps_x,1e-07,1,True,reversible_elastic,reversible elastic,0,4228,0.0
eps_x,1e-07,1,True,reversible_plastic,reversible plastic,3944,4228,0.9328287606433302
eps_x,1e-07,1,True,irreversible,irreversible,284,4228,0.06717123935666983
eps_x,1e-07,2,False,reversible_elastic,reversible elastic,0,3232,0.0
eps_x,1e-07,2,False,reversible_plastic,reversible plastic,3018,3232,0.9337871287128713
eps_x,1e-07,2,False,irreversible,irreversible,214,3232,0.06621287128712872
eps_x,1e-07,2,True,reversible_elastic,reversible elastic,0,782,0.0
eps_x,1e-07,2,True,reversible_plastic,reversible plastic,575,782,0.7352941176470589
eps_x,1e-07,2,True,irreversible,irreversible,207,782,0.2647058823529412
eps_x,1e-07,3,False,reversible_elastic,reversible elastic,0,3902,0.0
eps_x,1e-07,3,False,reversible_plastic,reversible plastic,3656,3902,0.9369554074833418
eps_x,1e-07,3,False,irreversible,irreversible,246,3902,0.06304459251665813
eps_x,1e-07,3,True,reversible_elastic,reversible elastic,0,738,0.0
eps_x,1e-07,3,True,reversible_plastic,reversible plastic,538,738,0.7289972899728997
eps_x,1e-07,3,True,irreversible,irreversible,200,738,0.27100271002710025
eps_x,1e-06,0,False,reversible_elastic,reversible elastic,0,2899,0.0
eps_x,1e-06,0,False,reversible_plastic,reversible plastic,2681,2899,0.9248016557433598
eps_x,1e-06,0,False,irreversible,irreversible,218,2899,0.07519834425664022
eps_x,1e-06,0,True,reversible_elastic,reversible elastic,0,1142,0.0
eps_x,1e-06,0,True,reversible_plastic,reversible plastic,905,1142,0.7924693520140105
eps_x,1e-06,0,True,irreversible,irreversible,237,1142,0.2075306479859895
eps_x,1e-06,1,False,reversible_elastic,reversible elastic,0,3098,0.0
eps_x,1e-06,1,False,reversible_plastic,reversible plastic,2889,3098,0.9325371207230472
eps_x,1e-06,1,False,irreversible,irreversible,209,3098,0.06746287927695287
eps_x,1e-06,1,True,reversible_elastic,reversible elastic,0,917,0.0
eps_x,1e-06,1,True,reversible_plastic,reversible plastic,694,917,0.7568157033805889
eps_x,1e-06,1,True,irreversible,irreversible,223,917,0.24318429661941113
eps_x,1e-06,2,False,reversible_elastic,reversible elastic,0,3065,0.0
eps_x,1e-06,2,False,reversible_plastic,reversible plastic,2865,3065,0.9347471451876019
