attribute,setting,seed,post_yield,all_steps,recorded_events,closing_events,non_closing_events,unrecorded_steps,positive_inter_strain_drops,positive_inter_strain_drops_recorded,positive_inter_strain_drops_closing,positive_inter_strain_drops_non_closing,positive_inter_strain_drops_unrecorded,positive_inter_strain_drops_no_m3,positive_inter_strain_drops_closing_no_m3,positive_inter_strain_drops_non_closing_no_m3,positive_inter_strain_drops_unrecorded_no_m3,positive_corrected_energy_drops_recorded,inter_strain_auc_recorded,corrected_energy_auc_recorded
load_increment,1e-06,0,False,391259,3004,2789,215,331737,868,206,4,202,662,662,0,0,662,3004,0.973058610654815,0.9950669990911137
load_increment,1e-06,0,True,468741,3074,2780,294,238198,255,254,0,254,1,1,0,0,1,3074,0.9705672196936328,0.9810294621445701
load_increment,1e-06,1,False,439979,3735,3502,233,376591,199,199,0,199,0,0,0,0,0,3735,0.9417782113470414,0.9854221867087599
load_increment,1e-06,1,True,420021,992,754,238,68790,210,210,0,210,0,0,0,0,0,992,0.9888270958250674,0.9805073222923122
load_increment,1e-06,2,False,403843,3157,2938,219,353736,195,195,0,195,0,0,0,0,0,3157,0.957194500654314,0.9879270525409451
load_increment,1e-06,2,True,456157,4657,4375,282,340844,252,252,0,252,0,0,0,0,0,4657,0.9732036474164134,0.984667071935157
load_increment,1e-06,3,False,450719,4165,3902,263,413217,2725,278,53,225,2447,2447,0,0,2447,4165,0.9367390808652285,0.9831089837910948
load_increment,1e-06,3,True,409281,860,652,208,71625,202,202,0,202,0,0,0,0,0,860,0.9937691717791411,0.9967334237848041
load_increment,5e-06,0,False,89821,4122,3873,249,85210,380,207,6,201,173,173,0,0,173,4122,0.913037121374732,0.9773729568415671
load_increment,5e-06,0,True,82179,694,470,224,8451,195,195,0,195,0,0,0,0,0,694,0.9886873100303951,0.971048632218845
load_increment,5e-06,1,False,83324,3271,3062,209,74507,180,180,0,180,0,0,0,0,0,3271,0.94960450529566,0.9913447444988578
load_increment,5e-06,1,True,88676,5946,5646,300,73272,222,222,0,222,0,0,0,0,0,5946,0.9382955484708938,0.9535464635730311
load_increment,5e-06,2,False,89250,3736,3515,221,80622,169,169,0,169,0,0,0,0,0,3736,0.8896313794146612,0.9737350591839756
load_increment,5e-06,2,True,82750,1838,1606,232,28478,188,188,0,188,0,0,0,0,0,1838,0.9577231931979215,0.9660352342508696
load_increment,5e-06,3,False,90341,3921,3675,246,81914,705,255,51,204,450,450,0,0,450,3921,0.9219036557712516,0.9688391128809247
load_increment,5e-06,3,True,81659,1690,1472,218,27233,178,178,0,178,0,0,0,0,0,1690,0.9912588502193858,0.9620219635021938
load_increment,1e-05,0,False,42362,2899,2681,218,33731,215,174,5,169,41,41,0,0,41,2899,0.9120432948133143,0.9688891246248661
load_increment,1e-05,0,True,43638,1142,905,237,6878,201,201,0,201,0,0,0,0,0,1142,0.9931929971792899,0.9648646758514582
load_increment,1e-05,1,False,40957,3098,2889,209,32974,166,166,0,166,0,0,0,0,0,3098,0.9350415120213448,0.9590328601641932
load_increment,1e-05,1,True,45043,917,694,223,6748,184,184,0,184,0,0,0,0,0,917,0.9855907780979827,0.950446492032928
load_increment,1e-05,2,False,39201,3065,2865,200,33142,156,156,0,156,0,0,0,0,0,3065,0.891411867364747,0.9610418848167539
load_increment,1e-05,2,True,46799,6724,6427,297,40075,204,204,0,204,0,0,0,0,0,6724,0.8960231431057633,0.9400776081964817
load_increment,1e-05,3,False,49864,4077,3838,239,42495,438,235,47,188,203,203,0,0,203,4077,0.9192778229595697,0.9636600303941427
load_increment,1e-05,3,True,36136,4752,4527,225,31384,146,146,0,146,0,0,0,0,0,4752,0.9044900964582873,0.9447748079424686
load_increment,5e-05,0,False,8420,2946,2727,219,5381,152,141,6,135,11,11,0,0,11,2946,0.8330394683303947,0.9258070403691815
load_increment,5e-05,0,True,8780,350,159,191,199,155,155,0,155,0,0,0,0,0,350,0.9717145773650763,0.9653923408739175
load_increment,5e-05,1,False,8083,2616,2407,209,4587,127,127,0,127,0,0,0,0,0,2616,0.8452579497995281,0.9135456195347302
load_increment,5e-05,1,True,9117,1003,796,207,1295,143,143,0,143,0,0,0,0,0,1003,0.9791408734493725,0.9560847716845094
load_increment,5e-05,2,False,9069,2764,2560,204,5614,133,133,0,133,0,0,0,0,0,2764,0.8491517310049019,0.9335707720588236
load_increment,5e-05,2,True,8131,724,561,163,962,116,116,0,116,0,0,0,0,0,724,0.9719606749559835,0.9347899784565248
load_increment,5e-05,3,False,9161,2998,2760,238,5456,190,173,33,140,17,17,0,0,17,2998,0.7872488125685057,0.9103930702715869
load_increment,5e-05,3,True,8039,2319,2116,203,2203,137,137,0,137,0,0,0,0,0,2319,0.9026395187499417,0.933762932198497
load_increment,0.0001,0,False,4327,2217,2023,194,1936,126,122,5,117,4,4,0,0,4,2217,0.8379537381963095,0.918843098185302
load_increment,0.0001,0,True,4273,386,235,151,151,103,103,0,103,0,0,0,0,0,386,0.9996336480202903,0.9198534592081161
load_increment,0.0001,1,False,4417,2340,2117,223,1662,123,123,0,123,0,0,0,0,0,2340,0.8113795857154659,0.8785043561516741
load_increment,0.0001,1,True,4183,590,416,174,208,132,132,0,132,0,0,0,0,0,590,0.9600602343059239,0.9021883289124668
load_increment,0.0001,2,False,4630,2625,2404,221,1861,127,127,0,127,0,0,0,0,0,2625,0.8203183231567297,0.8891158024709948
load_increment,0.0001,2,True,3970,628,463,165,197,110,110,0,110,0,0,0,0,0,628,0.9768309444335362,0.9179920151842398
load_increment,0.0001,3,False,5075,2807,2558,249,1940,165,163,23,140,2,2,0,0,2,2807,0.8193744485369154,0.9078424723130206
load_increment,0.0001,3,True,3525,1111,925,186,365,114,114,0,114,0,0,0,0,0,1111,0.8916070909619297,0.8482011043301366
load_increment,1e-06,pooled,False,1685800,14061,13131,930,1671739,3987,878,57,821,3109,3109,0,0,3109,14061,0.9501268032719092,0.9870335568051635
load_increment,1e-06,pooled,True,1754200,9583,8561,1022,1744617,919,918,0,918,1,1,0,0,1,9583,0.9789623036795224,0.9857408705706098
load_increment,5e-06,pooled,False,352736,15050,14125,925,337686,1434,811,57,754,623,623,0,0,623,15050,0.9160575938770629,0.977396948098541
load_increment,5e-06,pooled,True,335264,10168,9194,974,325096,783,783,0,783,0,0,0,0,0,10168,0.9555940866711127,0.9617680980230389
load_increment,1e-05,pooled,False,172384,13139,12273,866,159245,975,731,52,679,244,244,0,0,244,13139,0.914130588390483,0.9618866137933227
load_increment,1e-05,pooled,True,171616,13535,12553,982,158081,735,735,0,735,0,0,0,0,0,13535,0.9348916196143018,0.9379649431015347
load_increment,5e-05,pooled,False,34733,11324,10454,870,23409,602,574,39,535,28,28,0,0,28,11324,0.8257763073695599,0.9195467169801363
load_increment,5e-05,pooled,True,34067,4396,3632,764,29671,551,551,0,551,0,0,0,0,0,4396,0.9545470598749913,0.9479841778720852
load_increment,0.0001,pooled,False,18449,9989,9102,887,8460,541,535,28,507,6,6,0,0,6,9989,0.8213958452086425,0.8969862292242472
load_increment,0.0001,pooled,True,15951,2715,2039,676,13236,459,459,0,459,0,0,0,0,0,2715,0.9489097219602369,0.8909743725169839
