attribute,setting,seed,post_yield,all_steps,recorded_events,closing_events,non_closing_events,unrecorded_steps,positive_inter_strain_drops,positive_inter_strain_drops_recorded,positive_inter_strain_drops_closing,positive_inter_strain_drops_non_closing,positive_inter_strain_drops_unrecorded,positive_inter_strain_drops_no_m3,positive_inter_strain_drops_closing_no_m3,positive_inter_strain_drops_non_closing_no_m3,positive_inter_strain_drops_unrecorded_no_m3,positive_corrected_energy_drops_recorded,inter_strain_auc_recorded,corrected_energy_auc_recorded
eps_x,1e-07,0,False,41507,3661,3425,236,36811,267,183,6,177,84,84,0,0,84,3661,0.8773598911295312,0.9687467524433997
eps_x,1e-07,0,True,44493,2551,2284,267,17097,210,210,0,210,0,0,0,0,0,2551,0.9807650681831599,0.968533750500141
eps_x,1e-07,1,False,42366,3268,3033,235,37729,192,192,0,192,0,0,0,0,0,3268,0.9231573261499393,0.9762905907359472
eps_x,1e-07,1,True,43634,4228,3944,284,30685,193,193,0,193,0,0,0,0,0,4228,0.9339520898208725,0.9372723409422049
eps_x,1e-07,2,False,45005,3232,3018,214,38362,159,159,0,159,0,0,0,0,0,3232,0.9094544880251203,0.9584517815227018
eps_x,1e-07,2,True,40995,782,575,207,5167,173,173,0,173,0,0,0,0,0,782,0.9891115311909263,0.9666288594833018
eps_x,1e-07,3,False,47115,3902,3656,246,39694,439,236,47,189,203,203,0,0,203,3902,0.890262804433296,0.9558927523082671
eps_x,1e-07,3,True,38885,738,538,200,5199,155,155,0,155,0,0,0,0,0,738,0.9512267657992565,0.938949814126394
eps_x,1e-06,0,False,42362,2899,2681,218,33731,215,174,5,169,41,41,0,0,41,2899,0.9120432948133143,0.9688891246248661
eps_x,1e-06,0,True,43638,1142,905,237,6878,201,201,0,201,0,0,0,0,0,1142,0.9931929971792899,0.9648646758514582
eps_x,1e-06,1,False,40957,3098,2889,209,32974,166,166,0,166,0,0,0,0,0,3098,0.9350415120213448,0.9590328601641932
eps_x,1e-06,1,True,45043,917,694,223,6748,184,184,0,184,0,0,0,0,0,917,0.9855907780979827,0.950446492032928
eps_x,1e-06,2,False,39201,3065,2865,200,33142,156,156,0,156,0,0,0,0,0,3065,0.891411867364747,0.9610418848167539
eps_x,1e-06,2,True,46799,6724,6427,297,40075,204,204,0,204,0,0,0,0,0,6724,0.8960231431057633,0.9400776081964817
eps_x,1e-06,3,False,49864,4077,3838,239,42495,438,235,47,188,203,203,0,0,203,4077,0.9192778229595697,0.9636600303941427
eps_x,1e-06,3,True,36136,4752,4527,225,31384,146,146,0,146,0,0,0,0,0,4752,0.9044900964582873,0.9447748079424686
eps_x,1e-05,0,False,41984,3160,2953,207,35518,258,174,6,168,84,84,0,0,84,3160,0.9353003823181535,0.9730397810463771
eps_x,1e-05,0,True,44016,1539,1333,206,10624,167,167,0,167,0,0,0,0,0,1539,0.9781462355880233,0.9647521103576865
