attribute,setting,seed,post_yield,field,quantile,value
load_increment,1e-06,0,False,rev_energy_density,0.5,2.4499513529e-14
load_increment,1e-06,1,False,rev_energy_density,0.5,3.9874947788e-14
load_increment,1e-06,2,False,rev_energy_density,0.5,2.9609026342000004e-14
load_increment,1e-06,3,False,rev_energy_density,0.5,3.7603342662e-14
load_increment,5e-06,0,False,rev_energy_density,0.5,2.8900615234500003e-14
load_increment,5e-06,1,False,rev_energy_density,0.5,2.3537438665e-14
load_increment,5e-06,2,False,rev_energy_density,0.5,3.8596681406e-14
load_increment,5e-06,3,False,rev_energy_density,0.5,2.4614621452499996e-14
load_increment,1e-05,0,False,rev_energy_density,0.5,2.1961454877e-14
load_increment,1e-05,1,False,rev_energy_density,0.5,2.4195401238e-14
load_increment,1e-05,2,False,rev_energy_density,0.5,1.9789325734e-14
load_increment,1e-05,3,False,rev_energy_density,0.5,2.6915358830499997e-14
load_increment,5e-05,0,False,rev_energy_density,0.5,2.4707702551e-14
load_increment,5e-05,1,False,rev_energy_density,0.5,2.6778934625000002e-14
load_increment,5e-05,2,False,rev_energy_density,0.5,2.7220181664500002e-14
load_increment,5e-05,3,False,rev_energy_density,0.5,2.6926727514e-14
load_increment,0.0001,0,False,rev_energy_density,0.5,2.84167356315e-14
load_increment,0.0001,1,False,rev_energy_density,0.5,3.1144509194e-14
load_increment,0.0001,2,False,rev_energy_density,0.5,2.8592239687e-14
load_increment,0.0001,3,False,rev_energy_density,0.5,3.2696334528499995e-14
load_increment,1e-06,0,False,rev_energy_density,0.99,4.1135160699639735e-13
load_increment,1e-06,1,False,rev_energy_density,0.99,1.0573188546812824e-12
load_increment,1e-06,2,False,rev_energy_density,0.99,5.700647562907001e-13
load_increment,1e-06,3,False,rev_energy_density,0.99,6.69438534832294e-13
load_increment,5e-06,0,False,rev_energy_density,0.99,5.804677130071994e-13
load_increment,5e-06,1,False,rev_energy_density,0.99,4.464073128950992e-13
load_increment,5e-06,2,False,rev_energy_density,0.99,5.885758582756003e-13
load_increment,5e-06,3,False,rev_energy_density,0.99,3.660823892932e-13
load_increment,1e-05,0,False,rev_energy_density,0.99,5.038157269159992e-13
load_increment,1e-05,1,False,rev_energy_density,0.99,3.9604663015839996e-13
load_increment,1e-05,2,False,rev_energy_density,0.99,2.833989469773993e-13
load_increment,1e-05,3,False,rev_energy_density,0.99,5.800496865066001e-13
load_increment,5e-05,0,False,rev_energy_density,0.99,3.115048627931998e-13
load_increment,5e-05,1,False,rev_energy_density,0.99,3.540959596682002e-13
load_increment,5e-05,2,False,rev_energy_density,0.99,3.627862668032993e-13
load_increment,5e-05,3,False,rev_energy_density,0.99,3.0890407743e-13
load_increment,0.0001,0,False,rev_energy_density,0.99,3.868147331317997e-13
load_increment,0.0001,1,False,rev_energy_density,0.99,4.835795834900002e-13
load_increment,0.0001,2,False,rev_energy_density,0.99,4.5383575297829973e-13
load_increment,0.0001,3,False,rev_energy_density,0.99,4.4439144630769906e-13
load_increment,1e-06,0,False,rev_sigma,0.5,1.6753544461e-06
load_increment,1e-06,1,False,rev_sigma,0.5,1.6083002803e-06
load_increment,1e-06,2,False,rev_sigma,0.5,1.6246234539999998e-06
load_increment,1e-06,3,False,rev_sigma,0.5,1.68730320705e-06
load_increment,5e-06,0,False,rev_sigma,0.5,7.9435624008e-06
load_increment,5e-06,1,False,rev_sigma,0.5,8.45636436525e-06
load_increment,5e-06,2,False,rev_sigma,0.5,8.1192339451e-06
load_increment,5e-06,3,False,rev_sigma,0.5,8.703388649e-06
load_increment,1e-05,0,False,rev_sigma,0.5,1.632196331e-05
load_increment,1e-05,1,False,rev_sigma,0.5,1.6414726017e-05
load_increment,1e-05,2,False,rev_sigma,0.5,1.6523808592e-05
load_increment,1e-05,3,False,rev_sigma,0.5,1.6727936526999998e-05
load_increment,5e-05,0,False,rev_sigma,0.5,8.3393020253e-05
load_increment,5e-05,1,False,rev_sigma,0.5,8.2915574414e-05
load_increment,5e-05,2,False,rev_sigma,0.5,8.49626866555e-05
load_increment,5e-05,3,False,rev_sigma,0.5,8.757091270149999e-05
load_increment,0.0001,0,False,rev_sigma,0.5,0.00017067230802
load_increment,0.0001,1,False,rev_sigma,0.5,0.00016734173669
load_increment,0.0001,2,False,rev_sigma,0.5,0.0001616226461
load_increment,0.0001,3,False,rev_sigma,0.5,0.00016965565603499998
load_increment,1e-06,0,False,rev_sigma,0.99,2.0505827729319998e-06
load_increment,1e-06,1,False,rev_sigma,0.99,1.984786889881e-06
load_increment,1e-06,2,False,rev_sigma,0.99,1.927150649104e-06
load_increment,1e-06,3,False,rev_sigma,0.99,2.024244280295e-06
load_increment,5e-06,0,False,rev_sigma,0.99,9.991507279175995e-06
load_increment,5e-06,1,False,rev_sigma,0.99,9.933356648255e-06
load_increment,5e-06,2,False,rev_sigma,0.99,9.734052678372e-06
load_increment,5e-06,3,False,rev_sigma,0.99,1.0425443757419998e-05
load_increment,1e-05,0,False,rev_sigma,0.99,2.0185786357599998e-05
load_increment,1e-05,1,False,rev_sigma,0.99,1.9710902348359996e-05
load_increment,1e-05,2,False,rev_sigma,0.99,1.996275909464e-05
load_increment,1e-05,3,False,rev_sigma,0.99,2.1571221155579998e-05
load_increment,5e-05,0,False,rev_sigma,0.99,9.989038397438e-05
load_increment,5e-05,1,False,rev_sigma,0.99,0.0001001679407014
load_increment,5e-05,2,False,rev_sigma,0.99,9.859207952385e-05
load_increment,5e-05,3,False,rev_sigma,0.99,0.00010848927710849996
load_increment,0.0001,0,False,rev_sigma,0.99,0.0002001387175214
load_increment,0.0001,1,False,rev_sigma,0.99,0.0001977422698644
load_increment,0.0001,2,False,rev_sigma,0.99,0.0001953490314987
load_increment,0.0001,3,False,rev_sigma,0.99,0.00020661287847989997
load_increment,1e-06,0,True,rev_energy_density,0.5,1.2123564375e-13
load_increment,1e-06,1,True,rev_energy_density,0.5,1.2196039734e-13
load_increment,1e-06,2,True,rev_energy_density,0.5,1.7648744688e-13
load_increment,1e-06,3,True,rev_energy_density,0.5,9.6096641755e-14
load_increment,5e-06,0,True,rev_energy_density,0.5,1.50586743075e-13
load_increment,5e-06,1,True,rev_energy_density,0.5,3.19360538015e-13
load_increment,5e-06,2,True,rev_energy_density,0.5,1.8492301024e-13
load_increment,5e-06,3,True,rev_energy_density,0.5,1.6731860342e-13
load_increment,1e-05,0,True,rev_energy_density,0.5,1.5887735572000002e-13
load_increment,1e-05,1,True,rev_energy_density,0.5,1.6937633518e-13
load_increment,1e-05,2,True,rev_energy_density,0.5,1.6971739569e-13
load_increment,1e-05,3,True,rev_energy_density,0.5,1.8637251742e-13
load_increment,5e-05,0,True,rev_energy_density,0.5,9.0255980467e-14
load_increment,5e-05,1,True,rev_energy_density,0.5,9.99676785795e-14
load_increment,5e-05,2,True,rev_energy_density,0.5,1.0077201295999999e-13
load_increment,5e-05,3,True,rev_energy_density,0.5,2.1142341211000002e-13
load_increment,0.0001,0,True,rev_energy_density,0.5,9.627569852500001e-14
load_increment,0.0001,1,True,rev_energy_density,0.5,1.2711041109e-13
load_increment,0.0001,2,True,rev_energy_density,0.5,1.3610588212e-13
load_increment,0.0001,3,True,rev_energy_density,0.5,2.4866153581e-13
load_increment,1e-06,0,True,rev_energy_density,0.99,1.7302591004239983e-12
load_increment,1e-06,1,True,rev_energy_density,0.99,1.8190957575820003e-12
load_increment,1e-06,2,True,rev_energy_density,0.99,3.0002365747280003e-12
load_increment,1e-06,3,True,rev_energy_density,0.99,7.306326210741002e-13
load_increment,5e-06,0,True,rev_energy_density,0.99,1.327436223207e-12
load_increment,5e-06,1,True,rev_energy_density,0.99,4.847495063130016e-12
load_increment,5e-06,2,True,rev_energy_density,0.99,1.5180069112700001e-12
load_increment,5e-06,3,True,rev_energy_density,0.99,1.299269570179999e-12
load_increment,1e-05,0,True,rev_energy_density,0.99,1.1353547506400008e-12
load_increment,1e-05,1,True,rev_energy_density,0.99,1.3119295658380031e-12
load_increment,1e-05,2,True,rev_energy_density,0.99,2.729307993809999e-12
load_increment,1e-05,3,True,rev_energy_density,0.99,1.8606687035739995e-12
load_increment,5e-05,0,True,rev_energy_density,0.99,6.401341465799994e-13
load_increment,5e-05,1,True,rev_energy_density,0.99,8.600923706544995e-13
load_increment,5e-05,2,True,rev_energy_density,0.99,8.010238161679998e-13
load_increment,5e-05,3,True,rev_energy_density,0.99,2.3642172663699983e-12
load_increment,0.0001,0,True,rev_energy_density,0.99,7.116271945021992e-13
load_increment,0.0001,1,True,rev_energy_density,0.99,9.47462126532503e-13
load_increment,0.0001,2,True,rev_energy_density,0.99,9.063338666231999e-13
load_increment,0.0001,3,True,rev_energy_density,0.99,1.8505693332919992e-12
load_increment,1e-06,0,True,rev_sigma,0.5,1.2337501593e-06
load_increment,1e-06,1,True,rev_sigma,0.5,1.4606785978500001e-06
load_increment,1e-06,2,True,rev_sigma,0.5,1.2520768103e-06
load_increment,1e-06,3,True,rev_sigma,0.5,1.5264683112500001e-06
load_increment,5e-06,0,True,rev_sigma,0.5,6.98294600475e-06
load_increment,5e-06,1,True,rev_sigma,0.5,5.82307697485e-06
load_increment,5e-06,2,True,rev_sigma,0.5,6.9200018782e-06
load_increment,5e-06,3,True,rev_sigma,0.5,6.89661103495e-06
load_increment,1e-05,0,True,rev_sigma,0.5,1.321214746e-05
