attribute,setting,seed,post_yield,field,quantile,value
eps_x,1e-07,0,False,rev_energy_density,0.5,5.442757355899999e-16
eps_x,1e-07,1,False,rev_energy_density,0.5,5.1727511163e-16
eps_x,1e-07,2,False,rev_energy_density,0.5,5.8264504332e-16
eps_x,1e-07,3,False,rev_energy_density,0.5,4.675371201300001e-16
eps_x,1e-06,0,False,rev_energy_density,0.5,2.1961454877e-14
eps_x,1e-06,1,False,rev_energy_density,0.5,2.4195401238e-14
eps_x,1e-06,2,False,rev_energy_density,0.5,1.9789325734e-14
eps_x,1e-06,3,False,rev_energy_density,0.5,2.6915358830499997e-14
eps_x,1e-05,0,False,rev_energy_density,0.5,1.0220290392e-12
eps_x,1e-05,1,False,rev_energy_density,0.5,1.1207418992999998e-12
eps_x,1e-05,2,False,rev_energy_density,0.5,1.1207802686e-12
eps_x,1e-05,3,False,rev_energy_density,0.5,1.1321574789e-12
eps_x,0.0001,0,False,rev_energy_density,0.5,2.8874094937e-11
eps_x,0.0001,1,False,rev_energy_density,0.5,2.6208083170499997e-11
eps_x,0.0001,2,False,rev_energy_density,0.5,3.2287300655500005e-11
eps_x,0.0001,3,False,rev_energy_density,0.5,2.8317882084e-11
eps_x,1e-07,0,False,rev_energy_density,0.99,6.704624411194017e-15
eps_x,1e-07,1,False,rev_energy_density,0.99,5.051788320967999e-15
eps_x,1e-07,2,False,rev_energy_density,0.99,9.178734217120007e-15
eps_x,1e-07,3,False,rev_energy_density,0.99,5.902393240836e-15
eps_x,1e-06,0,False,rev_energy_density,0.99,5.038157269159992e-13
eps_x,1e-06,1,False,rev_energy_density,0.99,3.9604663015839996e-13
eps_x,1e-06,2,False,rev_energy_density,0.99,2.833989469773993e-13
eps_x,1e-06,3,False,rev_energy_density,0.99,5.800496865066001e-13
eps_x,1e-05,0,False,rev_energy_density,0.99,1.8985870611080005e-11
eps_x,1e-05,1,False,rev_energy_density,0.99,2.6037885902520073e-11
eps_x,1e-05,2,False,rev_energy_density,0.99,1.9809356217560195e-11
eps_x,1e-05,3,False,rev_energy_density,0.99,1.881784129398001e-11
eps_x,0.0001,0,False,rev_energy_density,0.99,1.895727623382e-10
eps_x,0.0001,1,False,rev_energy_density,0.99,1.623404025112e-10
eps_x,0.0001,2,False,rev_energy_density,0.99,1.5746358673249998e-10
eps_x,0.0001,3,False,rev_energy_density,0.99,1.639114605079e-10
eps_x,1e-07,0,False,rev_sigma,0.5,1.5369654018e-05
eps_x,1e-07,1,False,rev_sigma,0.5,1.7345847104e-05
eps_x,1e-07,2,False,rev_sigma,0.5,1.6460113604e-05
eps_x,1e-07,3,False,rev_sigma,0.5,1.70846076405e-05
eps_x,1e-06,0,False,rev_sigma,0.5,1.632196331e-05
eps_x,1e-06,1,False,rev_sigma,0.5,1.6414726017e-05
eps_x,1e-06,2,False,rev_sigma,0.5,1.6523808592e-05
eps_x,1e-06,3,False,rev_sigma,0.5,1.6727936526999998e-05
eps_x,1e-05,0,False,rev_sigma,0.5,1.6575470832e-05
eps_x,1e-05,1,False,rev_sigma,0.5,1.6495029419e-05
eps_x,1e-05,2,False,rev_sigma,0.5,1.6951949448e-05
eps_x,1e-05,3,False,rev_sigma,0.5,1.6184705381000002e-05
eps_x,0.0001,0,False,rev_sigma,0.5,2.4097575271e-05
eps_x,0.0001,1,False,rev_sigma,0.5,2.4227423109000002e-05
eps_x,0.0001,2,False,rev_sigma,0.5,2.22417630675e-05
eps_x,0.0001,3,False,rev_sigma,0.5,2.39824127845e-05
eps_x,1e-07,0,False,rev_sigma,0.99,1.974534631248e-05
eps_x,1e-07,1,False,rev_sigma,0.99,1.998311106252e-05
eps_x,1e-07,2,False,rev_sigma,0.99,1.920395056496e-05
eps_x,1e-07,3,False,rev_sigma,0.99,2.0860235620199997e-05
eps_x,1e-06,0,False,rev_sigma,0.99,2.0185786357599998e-05
eps_x,1e-06,1,False,rev_sigma,0.99,1.9710902348359996e-05
eps_x,1e-06,2,False,rev_sigma,0.99,1.996275909464e-05
eps_x,1e-06,3,False,rev_sigma,0.99,2.1571221155579998e-05
eps_x,1e-05,0,False,rev_sigma,0.99,1.973346837912e-05
eps_x,1e-05,1,False,rev_sigma,0.99,1.997384349452e-05
eps_x,1e-05,2,False,rev_sigma,0.99,1.972925042516e-05
eps_x,1e-05,3,False,rev_sigma,0.99,2.0797377474540003e-05
eps_x,0.0001,0,False,rev_sigma,0.99,2.52702774532e-05
eps_x,0.0001,1,False,rev_sigma,0.99,2.5740398960469998e-05
eps_x,0.0001,2,False,rev_sigma,0.99,2.5755818302409997e-05
eps_x,0.0001,3,False,rev_sigma,0.99,2.661488050408e-05
eps_x,1e-07,0,True,rev_energy_density,0.5,2.6716406865e-15
eps_x,1e-07,1,True,rev_energy_density,0.5,3.6720848584e-15
eps_x,1e-07,2,True,rev_energy_density,0.5,2.5295321393e-15
eps_x,1e-07,3,True,rev_energy_density,0.5,1.9809931473e-15
eps_x,1e-06,0,True,rev_energy_density,0.5,1.5887735572000002e-13
eps_x,1e-06,1,True,rev_energy_density,0.5,1.6937633518e-13
eps_x,1e-06,2,True,rev_energy_density,0.5,1.6971739569e-13
eps_x,1e-06,3,True,rev_energy_density,0.5,1.8637251742e-13
eps_x,1e-05,0,True,rev_energy_density,0.5,3.9517260575e-12
eps_x,1e-05,1,True,rev_energy_density,0.5,1.1312999958999999e-11
eps_x,1e-05,2,True,rev_energy_density,0.5,5.9893920934e-12
eps_x,1e-05,3,True,rev_energy_density,0.5,3.4120716918999996e-12
eps_x,0.0001,0,True,rev_energy_density,0.5,6.784502488699999e-11
eps_x,0.0001,1,True,rev_energy_density,0.5,8.827748274600001e-11
eps_x,0.0001,2,True,rev_energy_density,0.5,9.9124596886e-11
eps_x,0.0001,3,True,rev_energy_density,0.5,8.8578636337e-11
eps_x,1e-07,0,True,rev_energy_density,0.99,1.66789959624e-14
eps_x,1e-07,1,True,rev_energy_density,0.99,3.259708591946001e-14
eps_x,1e-07,2,True,rev_energy_density,0.99,1.3933913578919997e-14
eps_x,1e-07,3,True,rev_energy_density,0.99,9.182201665686999e-15
eps_x,1e-06,0,True,rev_energy_density,0.99,1.1353547506400008e-12
eps_x,1e-06,1,True,rev_energy_density,0.99,1.3119295658380031e-12
eps_x,1e-06,2,True,rev_energy_density,0.99,2.729307993809999e-12
eps_x,1e-06,3,True,rev_energy_density,0.99,1.8606687035739995e-12
eps_x,1e-05,0,True,rev_energy_density,0.99,3.8563758607760006e-11
eps_x,1e-05,1,True,rev_energy_density,0.99,4.3153551257260005e-10
eps_x,1e-05,2,True,rev_energy_density,0.99,7.247323674131998e-11
eps_x,1e-05,3,True,rev_energy_density,0.99,2.1380975965859952e-11
eps_x,0.0001,0,True,rev_energy_density,0.99,2.4567461957949994e-10
eps_x,0.0001,1,True,rev_energy_density,0.99,3.3342053638079996e-10
eps_x,0.0001,2,True,rev_energy_density,0.99,2.724333460282e-10
eps_x,0.0001,3,True,rev_energy_density,0.99,3.033240597598998e-10
eps_x,1e-07,0,True,rev_sigma,0.5,1.23062473765e-05
eps_x,1e-07,1,True,rev_sigma,0.5,1.34441470145e-05
eps_x,1e-07,2,True,rev_sigma,0.5,1.2621873783e-05
eps_x,1e-07,3,True,rev_sigma,0.5,1.5669373668e-05
eps_x,1e-06,0,True,rev_sigma,0.5,1.321214746e-05
eps_x,1e-06,1,True,rev_sigma,0.5,1.4364269524e-05
eps_x,1e-06,2,True,rev_sigma,0.5,1.2761681462e-05
eps_x,1e-06,3,True,rev_sigma,0.5,1.3601448501e-05
eps_x,1e-05,0,True,rev_sigma,0.5,1.3138523692e-05
